Date,Gym,Cycling,Running,Yoga,Aerobics,Country,Country_3Letter,Urbanization_%,Obesity_Both sexes,Obesity_Female,Obesity_Male,Inactivity_Both sexes,Inactivity_Female,Inactivity_Male
2021-01-01,19,7,53,39,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-02-01,18,8,43,31,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-03-01,21,9,42,29,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-04-01,20,9,39,27,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-05-01,33,10,40,30,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-06-01,34,10,36,32,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-07-01,32,11,34,32,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-08-01,37,11,46,36,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-09-01,40,9,32,35,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-10-01,36,7,39,35,3,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-11-01,34,6,35,33,3,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2021-12-01,22,6,35,28,3,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-01-01,32,8,47,37,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-02-01,33,8,38,37,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-03-01,31,10,41,34,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-04-01,28,11,40,30,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-05-01,27,11,39,33,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-06-01,29,11,40,34,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-07-01,29,14,38,36,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-08-01,34,14,40,37,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-09-01,39,11,44,38,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-10-01,39,9,45,39,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-11-01,45,8,41,37,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2022-12-01,40,7,34,32,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-01-01,53,10,45,44,6,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-02-01,48,11,45,42,6,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-03-01,53,12,51,42,6,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-04-01,47,13,59,39,6,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-05-01,44,14,59,39,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-06-01,39,14,49,37,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-07-01,40,17,46,41,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-08-01,43,16,54,41,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-09-01,44,13,60,42,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-10-01,42,10,57,41,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-11-01,43,8,47,39,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2023-12-01,41,7,44,36,3,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-01-01,55,10,56,44,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-02-01,49,11,62,45,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-03-01,50,12,70,42,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-04-01,48,16,74,38,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-05-01,43,14,72,37,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-06-01,41,13,61,34,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-07-01,37,14,55,34,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-08-01,42,17,79,39,4,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
2024-09-01,51,13,80,39,5,NL,NLD,94.07,16.66,16.99,16.32,10.15,11.41,8.85
