"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",58,16,28,24,6
"2021-01-01",58,14,29,26,8
"2021-02-01",56,16,29,28,8
"2021-03-01",60,15,26,27,8
"2021-04-01",59,13,25,25,7
"2021-05-01",71,13,27,30,7
"2021-06-01",76,12,25,36,8
"2021-07-01",77,13,25,26,6
"2021-08-01",76,12,25,24,7
"2021-09-01",70,11,23,23,7
"2021-10-01",61,10,28,21,7
"2021-11-01",55,11,37,20,5
"2021-12-01",54,9,24,18,4
"2022-01-01",64,11,30,24,7
"2022-02-01",61,14,27,25,6
"2022-03-01",63,10,26,21,6
"2022-04-01",61,10,21,23,5
"2022-05-01",75,9,17,22,5
"2022-06-01",75,10,23,32,7
"2022-07-01",79,9,21,22,6
"2022-08-01",84,10,23,22,7
"2022-09-01",78,10,24,22,6
"2022-10-01",74,10,36,21,6
"2022-11-01",68,12,52,20,6
"2022-12-01",65,9,26,18,4
"2023-01-01",73,10,26,22,6
"2023-02-01",70,14,28,21,6
"2023-03-01",64,9,24,22,5
"2023-04-01",69,9,24,22,5
"2023-05-01",81,9,28,24,6
"2023-06-01",79,10,24,29,5
"2023-07-01",94,10,25,24,6
"2023-08-01",86,8,30,22,5
"2023-09-01",79,8,25,21,6
"2023-10-01",66,9,39,20,5
"2023-11-01",63,9,50,18,5
"2023-12-01",65,9,26,19,4
"2024-01-01",70,10,29,22,6
"2024-02-01",70,13,27,21,5
"2024-03-01",66,8,24,19,5
"2024-04-01",72,8,24,20,5
"2024-05-01",78,8,23,20,6
"2024-06-01",81,8,21,26,5
"2024-07-01",96,9,24,20,6
"2024-08-01",92,9,27,21,6
"2024-09-01",87,8,33,21,6
"2024-10-01",79,9,44,20,5
"2024-11-01",74,10,66,21,5
"2024-12-01",73,9,27,17,4
"2025-01-01",80,10,29,20,5
"2025-02-01",68,13,26,20,5
"2025-03-01",74,8,24,19,4
"2025-04-01",86,9,24,19,5
"2025-05-01",82,9,23,19,5
"2025-06-01",92,8,25,26,5
"2025-07-01",100,8,23,19,4
"2025-08-01",97,8,26,18,5
"2025-09-01",87,8,24,18,4
"2025-10-01",77,10,43,17,4
"2025-11-01",75,14,64,19,4
"2025-12-01",85,13,31,17,4
"2026-01-01",92,14,33,19,4
"2026-02-01",88,19,37,25,4
"2026-03-01",81,11,27,15,4
