"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",49,12,26,22,8
"2021-01-01",60,10,29,26,7
"2021-02-01",59,10,30,27,8
"2021-03-01",60,11,29,26,8
"2021-04-01",60,10,28,24,9
"2021-05-01",48,11,30,24,9
"2021-06-01",52,11,30,26,9
"2021-07-01",60,12,27,22,7
"2021-08-01",72,11,31,26,8
"2021-09-01",66,11,28,25,8
"2021-10-01",62,10,28,23,7
"2021-11-01",56,9,28,22,8
"2021-12-01",52,9,25,20,6
"2022-01-01",62,11,27,24,6
"2022-02-01",66,10,29,27,6
"2022-03-01",67,9,30,28,6
"2022-04-01",60,10,28,26,6
"2022-05-01",60,10,28,23,6
"2022-06-01",65,9,30,26,6
"2022-07-01",71,8,27,25,6
"2022-08-01",77,9,30,32,7
"2022-09-01",78,9,30,26,6
"2022-10-01",74,8,29,26,6
"2022-11-01",67,8,28,21,6
"2022-12-01",60,8,24,19,5
"2023-01-01",84,9,28,25,6
"2023-02-01",78,9,28,28,6
"2023-03-01",79,9,31,28,6
"2023-04-01",70,10,29,27,6
"2023-05-01",66,10,32,27,6
"2023-06-01",70,9,27,27,5
"2023-07-01",75,9,26,27,5
"2023-08-01",78,8,29,24,6
"2023-09-01",80,9,32,26,6
"2023-10-01",70,7,30,24,5
"2023-11-01",68,7,30,21,5
"2023-12-01",66,8,23,19,5
"2024-01-01",86,9,27,23,5
"2024-02-01",76,8,27,22,4
"2024-03-01",73,8,26,24,5
"2024-04-01",69,8,27,22,5
"2024-05-01",67,8,29,22,5
"2024-06-01",63,8,25,24,4
"2024-07-01",69,10,24,23,4
"2024-08-01",86,10,28,23,5
"2024-09-01",82,6,32,23,5
"2024-10-01",80,9,30,23,5
"2024-11-01",72,8,32,22,5
"2024-12-01",74,8,30,20,5
"2025-01-01",86,8,34,24,5
"2025-02-01",76,9,31,23,4
"2025-03-01",75,8,35,25,4
"2025-04-01",73,10,37,24,4
"2025-05-01",75,10,35,25,5
"2025-06-01",71,9,33,25,4
"2025-07-01",79,10,34,21,4
"2025-08-01",85,9,36,23,5
"2025-09-01",83,10,35,19,5
"2025-10-01",78,9,36,20,5
"2025-11-01",75,9,38,18,5
"2025-12-01",75,10,33,18,5
"2026-01-01",100,11,40,20,5
"2026-02-01",90,12,37,21,5
"2026-03-01",85,12,38,20,5
