"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",9,16,35,58,4
"2021-01-01",9,19,39,78,6
"2021-02-01",10,21,38,61,5
"2021-03-01",9,26,39,57,5
"2021-04-01",10,37,42,58,4
"2021-05-01",18,39,39,58,5
"2021-06-01",22,43,32,58,4
"2021-07-01",18,44,32,61,4
"2021-08-01",19,40,36,64,4
"2021-09-01",24,34,30,62,4
"2021-10-01",19,21,27,67,4
"2021-11-01",17,15,25,56,4
"2021-12-01",14,13,19,57,3
"2022-01-01",26,20,26,73,6
"2022-02-01",22,20,23,64,6
"2022-03-01",22,27,21,64,6
"2022-04-01",22,34,21,65,5
"2022-05-01",20,41,20,57,5
"2022-06-01",21,41,19,60,5
"2022-07-01",23,44,25,62,5
"2022-08-01",25,50,28,68,6
"2022-09-01",29,29,25,70,5
"2022-10-01",29,25,24,71,5
"2022-11-01",29,17,22,70,5
"2022-12-01",28,16,19,61,4
"2023-01-01",34,22,23,86,7
"2023-02-01",29,22,24,79,6
"2023-03-01",40,29,41,84,6
"2023-04-01",37,37,46,82,6
"2023-05-01",38,43,50,72,6
"2023-06-01",32,46,41,71,5
"2023-07-01",31,49,35,68,5
"2023-08-01",29,51,36,76,5
"2023-09-01",32,40,38,86,5
"2023-10-01",31,26,32,75,5
"2023-11-01",37,17,29,81,5
"2023-12-01",32,16,27,69,4
"2024-01-01",40,21,36,100,7
"2024-02-01",42,27,40,84,6
"2024-03-01",36,32,43,69,6
"2024-04-01",35,42,50,72,5
"2024-05-01",32,48,48,72,6
"2024-06-01",35,42,43,66,5
"2024-07-01",29,52,41,65,5
"2024-08-01",32,50,50,67,5
"2024-09-01",40,37,52,74,5
"2024-10-01",42,27,47,76,6
"2024-11-01",42,21,44,70,6
"2024-12-01",42,20,40,66,4
"2025-01-01",47,25,47,86,6
"2025-02-01",45,25,47,78,7
"2025-03-01",46,37,53,78,6
"2025-04-01",43,52,62,67,5
"2025-05-01",42,52,60,67,5
"2025-06-01",38,57,58,67,5
"2025-07-01",39,57,52,69,5
"2025-08-01",41,59,53,74,5
"2025-09-01",43,45,52,72,5
"2025-10-01",44,30,48,67,5
"2025-11-01",52,30,54,68,5
"2025-12-01",57,25,51,68,5
"2026-01-01",59,30,54,78,7
"2026-02-01",64,37,60,78,7
"2026-03-01",55,50,66,64,7
