"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",60,13,34,27,4
"2021-01-01",66,15,39,33,5
"2021-02-01",64,15,40,32,5
"2021-03-01",57,14,35,28,5
"2021-04-01",58,14,38,28,5
"2021-05-01",56,14,39,30,5
"2021-06-01",63,14,38,28,5
"2021-07-01",61,19,43,27,5
"2021-08-01",54,19,49,27,5
"2021-09-01",54,14,34,25,5
"2021-10-01",66,12,35,25,5
"2021-11-01",67,11,35,24,5
"2021-12-01",63,9,30,21,4
"2022-01-01",74,15,39,28,5
"2022-02-01",73,12,37,28,5
"2022-03-01",66,12,36,27,5
"2022-04-01",62,13,36,25,5
"2022-05-01",62,12,27,26,5
"2022-06-01",63,11,37,26,5
"2022-07-01",71,14,41,27,5
"2022-08-01",76,13,42,27,6
"2022-09-01",70,16,38,26,5
"2022-10-01",76,13,39,26,6
"2022-11-01",81,12,36,24,5
"2022-12-01",78,11,33,23,4
"2023-01-01",90,15,39,29,5
"2023-02-01",82,13,41,27,5
"2023-03-01",75,13,41,28,6
"2023-04-01",75,13,39,29,5
"2023-05-01",69,13,49,30,5
"2023-06-01",73,12,39,28,5
"2023-07-01",75,14,35,28,4
"2023-08-01",76,13,41,27,6
"2023-09-01",73,13,44,27,5
"2023-10-01",72,12,41,27,5
"2023-11-01",72,11,40,25,5
"2023-12-01",70,11,38,25,4
"2024-01-01",86,15,43,29,5
"2024-02-01",73,13,44,27,5
"2024-03-01",68,13,47,25,5
"2024-04-01",70,13,49,26,5
"2024-05-01",69,12,50,24,5
"2024-06-01",69,12,44,25,5
"2024-07-01",79,15,45,25,4
"2024-08-01",70,21,52,25,5
"2024-09-01",76,14,46,24,5
"2024-10-01",74,12,47,23,5
"2024-11-01",69,10,44,24,5
"2024-12-01",74,11,40,22,4
"2025-01-01",91,15,50,28,5
"2025-02-01",81,12,48,26,5
"2025-03-01",78,12,50,25,5
"2025-04-01",76,13,55,24,5
"2025-05-01",74,12,51,23,5
"2025-06-01",76,11,47,24,5
"2025-07-01",79,13,46,23,5
"2025-08-01",79,11,48,23,5
"2025-09-01",80,12,50,24,5
"2025-10-01",75,12,45,22,5
"2025-11-01",84,12,52,21,4
"2025-12-01",86,12,43,21,4
"2026-01-01",100,15,53,26,5
"2026-02-01",91,16,55,30,5
"2026-03-01",92,14,56,24,5
