"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",17,2,23,33,13
"2021-01-01",17,3,29,34,6
"2021-02-01",19,4,21,29,5
"2021-03-01",20,5,25,34,7
"2021-04-01",18,9,29,39,10
"2021-05-01",24,9,26,37,9
"2021-06-01",36,8,27,35,8
"2021-07-01",37,6,21,35,8
"2021-08-01",37,7,23,36,7
"2021-09-01",39,4,20,34,8
"2021-10-01",38,6,30,31,6
"2021-11-01",32,6,30,33,6
"2021-12-01",32,9,24,40,8
"2022-01-01",31,8,27,40,10
"2022-02-01",34,6,30,32,13
"2022-03-01",36,7,29,31,7
"2022-04-01",41,9,40,32,5
"2022-05-01",34,8,35,30,6
"2022-06-01",43,6,35,34,9
"2022-07-01",46,7,31,33,7
"2022-08-01",44,5,32,34,9
"2022-09-01",41,5,26,26,10
"2022-10-01",42,8,28,26,8
"2022-11-01",40,7,30,27,8
"2022-12-01",40,4,29,27,6
"2023-01-01",48,5,31,29,8
"2023-02-01",43,6,29,30,7
"2023-03-01",38,6,34,29,9
"2023-04-01",41,7,35,29,9
"2023-05-01",44,9,42,29,10
"2023-06-01",45,6,31,35,9
"2023-07-01",47,5,30,32,12
"2023-08-01",44,5,28,32,9
"2023-09-01",37,5,25,25,7
"2023-10-01",34,5,29,25,6
"2023-11-01",33,3,31,25,6
"2023-12-01",30,3,27,23,6
"2024-01-01",32,4,30,25,6
"2024-02-01",41,4,28,27,9
"2024-03-01",39,4,30,28,7
"2024-04-01",43,5,36,27,10
"2024-05-01",43,6,32,27,9
"2024-06-01",50,2,24,32,8
"2024-07-01",49,6,25,32,9
"2024-08-01",43,5,27,29,9
"2024-09-01",46,4,28,26,9
"2024-10-01",39,4,33,27,8
"2024-11-01",43,4,30,26,8
"2024-12-01",37,4,25,28,7
"2025-01-01",40,3,26,26,8
"2025-02-01",42,3,27,28,6
"2025-03-01",41,6,32,30,7
"2025-04-01",47,6,36,31,8
"2025-05-01",48,6,35,32,8
"2025-06-01",52,8,33,36,6
"2025-07-01",47,3,27,32,10
"2025-08-01",46,4,24,29,6
"2025-09-01",42,3,25,21,5
"2025-10-01",41,3,31,25,6
"2025-11-01",91,22,76,44,10
"2025-12-01",61,11,48,29,8
"2026-01-01",59,11,44,31,7
"2026-02-01",100,33,85,60,7
"2026-03-01",47,8,39,22,5
