"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",53,8,19,42,4
"2021-01-01",51,7,19,40,4
"2021-02-01",54,7,19,40,5
"2021-03-01",53,8,22,42,5
"2021-04-01",48,9,24,45,4
"2021-05-01",60,9,23,47,5
"2021-06-01",62,9,24,51,5
"2021-07-01",58,10,28,46,6
"2021-08-01",63,10,29,47,5
"2021-09-01",61,10,24,42,6
"2021-10-01",54,7,22,39,5
"2021-11-01",54,8,28,38,6
"2021-12-01",55,9,26,44,5
"2022-01-01",53,9,23,39,5
"2022-02-01",48,8,20,36,5
"2022-03-01",45,7,21,34,4
"2022-04-01",43,7,19,31,4
"2022-05-01",50,7,14,34,3
"2022-06-01",50,7,18,36,3
"2022-07-01",52,7,18,31,4
"2022-08-01",55,9,21,31,6
"2022-09-01",51,6,21,29,5
"2022-10-01",46,6,18,28,5
"2022-11-01",45,5,19,26,4
"2022-12-01",42,5,18,24,4
"2023-01-01",45,6,19,25,5
"2023-02-01",45,5,20,26,5
"2023-03-01",41,5,16,27,4
"2023-04-01",44,4,12,28,3
"2023-05-01",47,5,20,32,4
"2023-06-01",48,6,15,31,3
"2023-07-01",52,5,13,29,4
"2023-08-01",48,4,14,31,4
"2023-09-01",44,4,12,26,4
"2023-10-01",40,4,12,23,3
"2023-11-01",43,4,14,24,3
"2023-12-01",45,4,15,23,3
"2024-01-01",45,4,14,23,3
"2024-02-01",48,4,15,25,3
"2024-03-01",41,3,13,25,3
"2024-04-01",48,3,12,24,3
"2024-05-01",54,4,13,25,3
"2024-06-01",46,3,11,23,2
"2024-07-01",50,3,11,24,3
"2024-08-01",50,3,11,23,3
"2024-09-01",50,4,12,22,4
"2024-10-01",49,4,13,21,3
"2024-11-01",48,4,15,23,3
"2024-12-01",50,4,14,23,3
"2025-01-01",50,3,17,21,3
"2025-02-01",50,3,16,23,3
"2025-03-01",49,3,15,20,3
"2025-04-01",57,3,15,22,3
"2025-05-01",53,3,17,21,3
"2025-06-01",52,3,14,23,3
"2025-07-01",57,3,12,20,3
"2025-08-01",54,3,15,21,3
"2025-09-01",49,3,12,17,3
"2025-10-01",47,3,13,18,2
"2025-11-01",51,5,23,21,3
"2025-12-01",54,7,24,22,3
"2026-01-01",57,6,22,23,3
"2026-02-01",100,44,88,81,5
"2026-03-01",48,5,18,18,2
