"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",16,30,39,28,5
"2021-01-01",19,26,48,32,6
"2021-02-01",22,33,43,32,6
"2021-03-01",19,42,35,29,6
"2021-04-01",22,41,37,30,6
"2021-05-01",26,40,35,29,6
"2021-06-01",33,37,38,29,6
"2021-07-01",31,53,38,31,5
"2021-08-01",32,47,42,36,6
"2021-09-01",36,53,39,37,6
"2021-10-01",29,29,37,33,5
"2021-11-01",26,21,35,31,5
"2021-12-01",23,21,34,29,5
"2022-01-01",31,28,38,38,7
"2022-02-01",31,38,34,36,6
"2022-03-01",29,46,34,33,7
"2022-04-01",25,52,35,32,6
"2022-05-01",27,43,33,31,7
"2022-06-01",27,57,32,33,7
"2022-07-01",23,62,34,31,6
"2022-08-01",30,54,35,37,7
"2022-09-01",28,49,36,38,6
"2022-10-01",28,31,37,35,7
"2022-11-01",30,28,33,35,6
"2022-12-01",27,26,33,32,5
"2023-01-01",32,33,35,44,8
"2023-02-01",32,50,36,42,8
"2023-03-01",43,63,44,40,8
"2023-04-01",42,64,49,38,7
"2023-05-01",35,64,54,35,8
"2023-06-01",32,73,42,35,6
"2023-07-01",30,81,42,39,6
"2023-08-01",38,100,43,42,7
"2023-09-01",39,64,49,43,6
"2023-10-01",34,36,50,39,6
"2023-11-01",33,26,45,37,6
"2023-12-01",31,27,42,35,5
"2024-01-01",40,33,49,44,7
"2024-02-01",37,46,46,42,7
"2024-03-01",37,58,61,37,6
"2024-04-01",37,57,67,40,7
"2024-05-01",35,49,63,35,6
"2024-06-01",33,48,48,35,5
"2024-07-01",32,68,48,36,5
"2024-08-01",34,78,59,39,5
"2024-09-01",37,52,60,42,6
"2024-10-01",34,31,59,37,6
"2024-11-01",37,26,60,38,5
"2024-12-01",32,29,59,36,6
"2025-01-01",38,32,61,37,7
"2025-02-01",36,43,59,39,6
"2025-03-01",36,56,73,38,6
"2025-04-01",35,64,89,34,6
"2025-05-01",34,52,67,35,6
"2025-06-01",34,62,57,35,5
"2025-07-01",32,72,54,35,5
"2025-08-01",39,55,64,37,6
"2025-09-01",37,66,65,39,5
"2025-10-01",39,42,62,38,5
"2025-11-01",46,36,73,37,6
"2025-12-01",51,33,71,35,6
"2026-01-01",54,40,73,39,7
"2026-02-01",62,50,75,44,7
"2026-03-01",49,65,81,38,6
