"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",67,8,17,22,11
"2021-01-01",73,8,19,26,12
"2021-02-01",57,11,28,22,14
"2021-03-01",57,12,30,19,16
"2021-04-01",65,14,34,23,19
"2021-05-01",62,12,27,25,14
"2021-06-01",69,10,23,24,12
"2021-07-01",61,15,31,20,12
"2021-08-01",61,15,32,21,13
"2021-09-01",63,13,28,20,12
"2021-10-01",63,10,28,20,12
"2021-11-01",61,10,30,21,13
"2021-12-01",66,8,21,25,9
"2022-01-01",80,9,24,23,11
"2022-02-01",70,9,32,18,14
"2022-03-01",62,11,41,15,15
"2022-04-01",75,14,42,18,14
"2022-05-01",64,12,31,19,12
"2022-06-01",72,12,30,17,11
"2022-07-01",87,9,22,21,11
"2022-08-01",75,10,27,20,9
"2022-09-01",70,11,27,20,11
"2022-10-01",75,10,29,17,11
"2022-11-01",72,10,25,16,11
"2022-12-01",81,8,19,19,8
"2023-01-01",100,8,21,21,11
"2023-02-01",76,8,25,14,9
"2023-03-01",73,10,40,19,12
"2023-04-01",65,11,37,20,15
"2023-05-01",66,10,36,17,11
"2023-06-01",68,11,31,17,10
"2023-07-01",85,8,22,18,9
"2023-08-01",76,9,27,17,10
"2023-09-01",77,9,28,17,10
"2023-10-01",72,9,28,16,11
"2023-11-01",72,7,24,15,10
"2023-12-01",84,6,22,20,8
"2024-01-01",99,7,21,20,9
"2024-02-01",73,6,25,16,9
"2024-03-01",74,9,31,19,11
"2024-04-01",74,12,34,20,12
"2024-05-01",70,9,27,18,11
"2024-06-01",72,9,26,18,10
"2024-07-01",79,10,22,19,7
"2024-08-01",69,13,30,17,9
"2024-09-01",72,6,26,17,9
"2024-10-01",72,6,25,17,9
"2024-11-01",74,8,24,18,9
"2024-12-01",86,5,21,21,6
"2025-01-01",90,4,22,21,9
"2025-02-01",73,5,28,17,8
"2025-03-01",66,8,35,19,10
"2025-04-01",71,9,37,18,12
"2025-05-01",69,9,29,17,8
"2025-06-01",66,8,30,19,8
"2025-07-01",83,8,26,17,7
"2025-08-01",70,5,27,17,8
"2025-09-01",67,10,27,14,8
"2025-10-01",69,7,25,15,9
"2025-11-01",76,9,31,16,11
"2025-12-01",83,7,24,17,7
"2026-01-01",92,7,23,19,7
"2026-02-01",75,7,30,18,8
"2026-03-01",72,9,42,16,10
