"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",3,11,6,11,4
"2021-01-01",3,12,8,11,4
"2021-02-01",6,11,9,10,4
"2021-03-01",5,13,10,12,5
"2021-04-01",6,18,12,11,6
"2021-05-01",8,14,13,10,5
"2021-06-01",7,14,12,10,5
"2021-07-01",7,14,12,10,5
"2021-08-01",9,14,11,9,5
"2021-09-01",10,12,9,10,5
"2021-10-01",9,10,7,9,5
"2021-11-01",8,10,8,9,5
"2021-12-01",7,8,9,8,3
"2022-01-01",10,9,10,9,5
"2022-02-01",10,8,11,9,5
"2022-03-01",9,9,9,9,6
"2022-04-01",8,9,7,9,5
"2022-05-01",8,8,6,8,5
"2022-06-01",9,7,7,9,5
"2022-07-01",11,7,7,9,6
"2022-08-01",11,8,7,9,6
"2022-09-01",11,7,6,8,6
"2022-10-01",12,6,6,8,6
"2022-11-01",11,6,7,8,6
"2022-12-01",11,5,8,8,5
"2023-01-01",19,6,9,9,7
"2023-02-01",15,6,9,8,7
"2023-03-01",10,7,15,9,7
"2023-04-01",7,8,12,9,7
"2023-05-01",8,7,25,8,6
"2023-06-01",6,7,16,9,6
"2023-07-01",7,7,50,9,6
"2023-08-01",8,7,54,9,6
"2023-09-01",7,7,57,8,6
"2023-10-01",7,7,61,8,6
"2023-11-01",6,6,59,8,6
"2023-12-01",10,6,53,8,5
"2024-01-01",16,7,60,9,7
"2024-02-01",13,7,57,9,6
"2024-03-01",12,6,66,9,6
"2024-04-01",13,7,69,8,6
"2024-05-01",13,7,68,8,6
"2024-06-01",14,7,68,9,6
"2024-07-01",13,8,70,8,5
"2024-08-01",13,8,67,9,6
"2024-09-01",13,4,80,9,7
"2024-10-01",15,5,71,8,7
"2024-11-01",15,6,78,9,6
"2024-12-01",13,6,71,8,5
"2025-01-01",18,7,76,9,7
"2025-02-01",16,9,73,11,7
"2025-03-01",15,8,85,12,6
"2025-04-01",15,8,80,12,6
"2025-05-01",16,8,86,12,6
"2025-06-01",16,6,75,11,6
"2025-07-01",14,7,81,10,6
"2025-08-01",15,7,89,11,6
"2025-09-01",16,7,95,11,7
"2025-10-01",15,6,99,11,7
"2025-11-01",17,6,99,11,6
"2025-12-01",18,7,84,10,5
"2026-01-01",20,7,90,11,7
"2026-02-01",20,7,80,12,6
"2026-03-01",17,7,100,11,7
