"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",37,12,44,41,7
"2021-01-01",42,12,46,50,10
"2021-02-01",50,14,43,47,8
"2021-03-01",56,18,49,40,8
"2021-04-01",42,22,58,34,8
"2021-05-01",35,26,63,34,8
"2021-06-01",52,24,56,33,7
"2021-07-01",70,28,54,36,6
"2021-08-01",61,23,56,35,7
"2021-09-01",71,16,40,38,6
"2021-10-01",60,13,42,39,7
"2021-11-01",64,10,41,38,7
"2021-12-01",60,8,38,34,6
"2022-01-01",78,12,44,42,7
"2022-02-01",72,13,42,42,8
"2022-03-01",70,16,53,43,9
"2022-04-01",63,18,55,39,8
"2022-05-01",54,21,45,35,6
"2022-06-01",58,22,52,38,7
"2022-07-01",59,26,51,38,6
"2022-08-01",66,22,53,39,7
"2022-09-01",67,20,52,39,7
"2022-10-01",66,14,47,38,7
"2022-11-01",72,11,41,40,7
"2022-12-01",68,10,37,37,6
"2023-01-01",85,13,41,49,9
"2023-02-01",76,13,43,44,8
"2023-03-01",72,15,47,50,9
"2023-04-01",66,19,57,46,8
"2023-05-01",64,22,69,43,7
"2023-06-01",62,24,54,44,7
"2023-07-01",64,28,52,40,7
"2023-08-01",67,23,54,44,6
"2023-09-01",68,21,58,44,7
"2023-10-01",62,14,50,43,7
"2023-11-01",67,12,42,44,7
"2023-12-01",70,10,42,41,6
"2024-01-01",83,13,43,52,9
"2024-02-01",71,13,47,47,8
"2024-03-01",70,16,60,43,8
"2024-04-01",66,19,65,41,8
"2024-05-01",65,23,75,41,7
"2024-06-01",62,23,61,38,6
"2024-07-01",62,28,57,37,7
"2024-08-01",69,29,63,39,6
"2024-09-01",72,19,63,41,6
"2024-10-01",65,14,56,39,6
"2024-11-01",68,12,49,43,7
"2024-12-01",69,11,46,41,6
"2025-01-01",81,12,48,53,9
"2025-02-01",74,12,45,46,8
"2025-03-01",72,16,60,45,8
"2025-04-01",66,17,68,40,7
"2025-05-01",64,20,75,39,6
"2025-06-01",62,23,68,37,6
"2025-07-01",63,26,62,40,6
"2025-08-01",70,23,64,38,6
"2025-09-01",69,24,66,39,7
"2025-10-01",64,14,56,37,6
"2025-11-01",76,13,56,43,7
"2025-12-01",84,13,51,39,6
"2026-01-01",100,15,53,48,9
"2026-02-01",91,20,59,52,8
"2026-03-01",86,18,68,46,8
