"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",22,16,34,73,5
"2021-01-01",19,18,40,85,6
"2021-02-01",21,21,42,81,6
"2021-03-01",23,28,42,71,6
"2021-04-01",36,32,39,75,7
"2021-05-01",39,36,40,78,6
"2021-06-01",44,33,35,66,6
"2021-07-01",46,35,40,61,5
"2021-08-01",48,33,47,74,5
"2021-09-01",48,28,42,73,4
"2021-10-01",44,21,37,66,4
"2021-11-01",44,16,38,64,5
"2021-12-01",39,13,29,60,4
"2022-01-01",45,18,37,88,6
"2022-02-01",47,19,34,84,6
"2022-03-01",43,27,37,75,6
"2022-04-01",40,33,39,74,6
"2022-05-01",39,36,44,77,6
"2022-06-01",39,35,41,74,6
"2022-07-01",39,44,39,69,6
"2022-08-01",47,38,43,77,7
"2022-09-01",49,28,42,75,7
"2022-10-01",46,24,44,79,7
"2022-11-01",48,19,43,75,7
"2022-12-01",46,19,37,68,5
"2023-01-01",56,23,36,95,8
"2023-02-01",49,27,40,78,8
"2023-03-01",70,31,51,89,7
"2023-04-01",63,38,56,88,8
"2023-05-01",66,45,78,83,8
"2023-06-01",56,50,57,79,7
"2023-07-01",52,51,52,79,6
"2023-08-01",58,47,59,94,7
"2023-09-01",63,35,67,89,6
"2023-10-01",57,26,56,82,5
"2023-11-01",62,22,54,82,6
"2023-12-01",53,19,47,75,5
"2024-01-01",73,24,46,94,7
"2024-02-01",65,29,49,86,8
"2024-03-01",59,35,62,84,7
"2024-04-01",59,40,75,80,7
"2024-05-01",56,43,69,72,7
"2024-06-01",56,41,66,70,6
"2024-07-01",49,48,56,72,6
"2024-08-01",59,50,71,79,6
"2024-09-01",68,52,70,75,6
"2024-10-01",60,30,70,71,6
"2024-11-01",67,24,67,78,6
"2024-12-01",61,21,54,71,6
"2025-01-01",85,26,59,89,7
"2025-02-01",74,27,55,78,6
"2025-03-01",66,36,69,75,7
"2025-04-01",62,45,84,73,7
"2025-05-01",61,43,87,68,6
"2025-06-01",58,45,70,67,6
"2025-07-01",66,53,63,67,6
"2025-08-01",73,47,77,74,5
"2025-09-01",67,43,78,70,5
"2025-10-01",62,31,72,71,5
"2025-11-01",77,29,75,70,6
"2025-12-01",83,28,73,68,6
"2026-01-01",98,30,67,80,7
"2026-02-01",93,44,73,72,7
"2026-03-01",90,43,100,69,7
