"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",18,3,41,18,2
"2021-01-01",18,4,57,14,0
"2021-02-01",21,4,42,14,3
"2021-03-01",16,6,48,18,0
"2021-04-01",18,7,26,21,0
"2021-05-01",19,5,19,16,3
"2021-06-01",22,5,15,16,4
"2021-07-01",23,7,16,17,3
"2021-08-01",22,6,16,13,5
"2021-09-01",23,4,21,19,5
"2021-10-01",20,5,78,13,4
"2021-11-01",18,4,65,15,4
"2021-12-01",13,6,32,15,0
"2022-01-01",15,4,56,12,4
"2022-02-01",18,6,42,14,4
"2022-03-01",19,7,50,14,2
"2022-04-01",14,4,24,14,4
"2022-05-01",19,5,23,14,4
"2022-06-01",17,5,15,14,3
"2022-07-01",10,5,25,16,5
"2022-08-01",11,5,12,11,6
"2022-09-01",10,6,19,12,6
"2022-10-01",11,4,100,13,7
"2022-11-01",10,5,73,10,5
"2022-12-01",10,4,35,10,4
"2023-01-01",12,6,45,15,6
"2023-02-01",9,5,39,12,3
"2023-03-01",16,4,47,13,7
"2023-04-01",11,5,27,14,7
"2023-05-01",17,6,25,14,6
"2023-06-01",16,5,24,16,5
"2023-07-01",13,9,21,11,5
"2023-08-01",16,4,17,12,4
"2023-09-01",14,6,24,9,5
"2023-10-01",11,5,87,12,3
"2023-11-01",14,5,54,12,4
"2023-12-01",10,3,34,11,5
"2024-01-01",12,3,33,11,4
"2024-02-01",12,3,32,11,4
"2024-03-01",12,4,31,12,4
"2024-04-01",15,5,26,10,0
"2024-05-01",14,3,17,11,4
"2024-06-01",10,4,14,12,3
"2024-07-01",13,5,16,12,3
"2024-08-01",14,6,17,11,4
"2024-09-01",12,3,32,12,4
"2024-10-01",12,3,78,10,3
"2024-11-01",12,4,52,12,5
"2024-12-01",12,3,22,7,4
"2025-01-01",12,3,39,11,3
"2025-02-01",14,5,32,10,6
"2025-03-01",10,4,30,10,4
"2025-04-01",12,4,20,9,5
"2025-05-01",16,4,15,10,3
"2025-06-01",18,4,15,12,4
"2025-07-01",13,4,13,11,5
"2025-08-01",14,4,13,9,4
"2025-09-01",12,6,29,11,4
"2025-10-01",13,5,70,10,3
"2025-11-01",17,7,51,11,3
"2025-12-01",13,6,25,14,5
"2026-01-01",16,4,34,9,2
"2026-02-01",18,7,37,16,3
"2026-03-01",14,6,31,9,0
