"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",25,14,21,20,9
"2021-01-01",27,12,22,22,9
"2021-02-01",37,12,21,22,8
"2021-03-01",36,11,22,22,12
"2021-04-01",25,14,23,23,16
"2021-05-01",23,19,21,19,13
"2021-06-01",28,14,22,18,12
"2021-07-01",53,18,23,18,9
"2021-08-01",59,14,23,20,10
"2021-09-01",61,11,23,21,10
"2021-10-01",57,11,25,21,10
"2021-11-01",55,11,23,20,10
"2021-12-01",46,11,21,19,7
"2022-01-01",63,12,23,22,8
"2022-02-01",54,11,22,20,7
"2022-03-01",55,13,22,20,9
"2022-04-01",50,11,22,19,9
"2022-05-01",52,10,24,19,9
"2022-06-01",53,9,20,20,9
"2022-07-01",57,9,20,19,7
"2022-08-01",64,12,22,19,7
"2022-09-01",59,10,20,18,7
"2022-10-01",66,10,24,19,8
"2022-11-01",58,10,22,19,8
"2022-12-01",62,11,19,20,6
"2023-01-01",74,11,20,26,8
"2023-02-01",65,9,20,20,7
"2023-03-01",77,10,24,22,8
"2023-04-01",67,11,23,21,8
"2023-05-01",64,10,30,19,8
"2023-06-01",66,11,23,19,8
"2023-07-01",75,11,21,21,7
"2023-08-01",77,11,22,21,7
"2023-09-01",73,10,24,19,7
"2023-10-01",74,33,31,20,8
"2023-11-01",71,14,30,20,7
"2023-12-01",70,11,25,18,6
"2024-01-01",88,11,26,21,7
"2024-02-01",79,10,27,20,5
"2024-03-01",80,11,26,21,7
"2024-04-01",74,11,30,24,8
"2024-05-01",68,10,25,18,7
"2024-06-01",69,9,25,20,6
"2024-07-01",80,12,26,19,6
"2024-08-01",81,13,29,18,6
"2024-09-01",78,7,34,18,7
"2024-10-01",79,9,34,18,7
"2024-11-01",76,10,35,19,7
"2024-12-01",79,12,34,20,6
"2025-01-01",89,12,34,22,6
"2025-02-01",81,11,35,19,6
"2025-03-01",83,12,38,21,7
"2025-04-01",73,11,40,20,7
"2025-05-01",72,11,39,19,6
"2025-06-01",76,11,38,23,6
"2025-07-01",82,12,33,18,6
"2025-08-01",85,11,38,18,6
"2025-09-01",75,12,39,17,6
"2025-10-01",84,19,56,18,7
"2025-11-01",78,13,52,17,6
"2025-12-01",85,15,43,17,6
"2026-01-01",100,13,42,19,7
"2026-02-01",92,15,50,19,6
"2026-03-01",99,14,50,19,7
