"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",35,5,50,32,0
"2021-01-01",32,6,44,26,7
"2021-02-01",36,6,48,37,6
"2021-03-01",37,9,40,28,0
"2021-04-01",38,6,55,30,5
"2021-05-01",43,17,59,29,0
"2021-06-01",43,21,29,32,7
"2021-07-01",47,20,33,33,10
"2021-08-01",54,14,23,34,6
"2021-09-01",42,14,84,30,4
"2021-10-01",35,16,74,30,7
"2021-11-01",35,9,44,24,0
"2021-12-01",40,9,32,31,5
"2022-01-01",32,7,36,23,11
"2022-02-01",36,7,39,29,10
"2022-03-01",37,8,37,32,12
"2022-04-01",35,11,51,24,11
"2022-05-01",33,13,34,27,6
"2022-06-01",37,24,30,25,16
"2022-07-01",24,15,42,31,12
"2022-08-01",22,11,25,25,12
"2022-09-01",25,11,100,20,9
"2022-10-01",23,16,69,21,16
"2022-11-01",21,9,39,21,16
"2022-12-01",22,9,36,21,8
"2023-01-01",22,9,36,24,11
"2023-02-01",25,10,44,26,15
"2023-03-01",30,8,41,23,17
"2023-04-01",31,7,57,21,18
"2023-05-01",32,10,51,25,18
"2023-06-01",32,22,36,27,16
"2023-07-01",34,17,37,22,13
"2023-08-01",36,15,33,22,8
"2023-09-01",32,9,92,22,10
"2023-10-01",26,12,70,20,10
"2023-11-01",26,5,39,16,8
"2023-12-01",22,6,27,23,9
"2024-01-01",22,8,29,20,11
"2024-02-01",30,8,32,20,10
"2024-03-01",29,8,27,17,10
"2024-04-01",27,7,40,21,8
"2024-05-01",24,9,34,20,10
"2024-06-01",28,21,28,17,7
"2024-07-01",26,13,24,24,7
"2024-08-01",25,11,26,27,9
"2024-09-01",30,6,62,21,7
"2024-10-01",26,8,67,16,9
"2024-11-01",27,7,39,20,7
"2024-12-01",26,5,27,21,6
"2025-01-01",27,7,24,17,6
"2025-02-01",28,8,21,20,8
"2025-03-01",26,6,24,19,7
"2025-04-01",28,8,28,17,6
"2025-05-01",31,7,30,18,8
"2025-06-01",26,22,21,22,8
"2025-07-01",31,15,32,17,6
"2025-08-01",25,7,23,19,0
"2025-09-01",28,15,62,16,6
"2025-10-01",26,7,41,20,6
"2025-11-01",27,6,47,20,8
"2025-12-01",28,10,25,17,5
"2026-01-01",28,6,26,20,4
"2026-02-01",21,18,36,22,6
"2026-03-01",28,11,30,17,6
