"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",15,6,31,22,3
"2021-01-01",14,7,31,26,4
"2021-02-01",11,8,25,22,5
"2021-03-01",15,10,33,23,5
"2021-04-01",13,9,31,27,5
"2021-05-01",16,11,30,24,5
"2021-06-01",15,10,36,24,4
"2021-07-01",15,13,36,19,4
"2021-08-01",15,12,37,23,5
"2021-09-01",12,13,28,22,5
"2021-10-01",13,12,34,21,5
"2021-11-01",12,9,31,21,5
"2021-12-01",10,9,28,21,4
"2022-01-01",13,9,32,23,5
"2022-02-01",13,15,31,19,7
"2022-03-01",13,10,28,21,5
"2022-04-01",14,12,27,24,5
"2022-05-01",13,12,26,24,5
"2022-06-01",14,16,32,24,5
"2022-07-01",14,14,27,23,4
"2022-08-01",15,14,28,22,5
"2022-09-01",14,15,29,24,5
"2022-10-01",14,15,34,21,6
"2022-11-01",15,11,31,23,5
"2022-12-01",16,10,27,19,5
"2023-01-01",17,10,26,25,4
"2023-02-01",15,11,33,22,5
"2023-03-01",20,11,31,24,6
"2023-04-01",24,12,31,26,6
"2023-05-01",26,13,38,24,6
"2023-06-01",27,15,28,25,5
"2023-07-01",28,12,26,23,6
"2023-08-01",21,14,29,22,5
"2023-09-01",24,16,27,24,5
"2023-10-01",24,15,31,24,5
"2023-11-01",21,13,31,22,5
"2023-12-01",18,12,22,21,4
"2024-01-01",18,11,26,21,4
"2024-02-01",19,10,24,23,5
"2024-03-01",19,13,28,21,5
"2024-04-01",19,16,30,23,5
"2024-05-01",20,17,28,23,6
"2024-06-01",20,16,27,23,5
"2024-07-01",19,17,26,21,5
"2024-08-01",21,19,27,23,5
"2024-09-01",23,16,30,21,5
"2024-10-01",22,14,32,24,5
"2024-11-01",22,15,28,20,5
"2024-12-01",22,10,25,22,4
"2025-01-01",21,8,25,23,4
"2025-02-01",24,10,23,22,5
"2025-03-01",23,12,25,24,4
"2025-04-01",22,13,25,23,4
"2025-05-01",24,12,25,23,4
"2025-06-01",24,14,25,23,5
"2025-07-01",24,17,23,25,4
"2025-08-01",24,13,23,30,5
"2025-09-01",23,15,31,23,6
"2025-10-01",21,23,68,28,12
"2025-11-01",23,23,100,31,18
"2025-12-01",20,41,56,27,11
"2026-01-01",18,27,23,18,3
"2026-02-01",38,46,43,40,3
"2026-03-01",27,40,27,22,5
