"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",50,33,18,16,11
"2021-01-01",67,25,19,18,18
"2021-02-01",63,41,24,16,18
"2021-03-01",62,45,26,15,18
"2021-04-01",57,47,25,18,18
"2021-05-01",57,74,23,19,15
"2021-06-01",62,55,21,17,14
"2021-07-01",65,85,23,16,14
"2021-08-01",72,46,26,17,17
"2021-09-01",62,44,20,17,16
"2021-10-01",60,31,21,15,15
"2021-11-01",58,23,22,15,16
"2021-12-01",50,18,18,15,10
"2022-01-01",74,23,20,16,13
"2022-02-01",72,35,25,14,15
"2022-03-01",61,37,27,14,14
"2022-04-01",64,38,27,16,12
"2022-05-01",64,39,25,14,12
"2022-06-01",68,34,23,15,11
"2022-07-01",77,45,23,16,11
"2022-08-01",75,37,26,14,12
"2022-09-01",67,44,25,13,12
"2022-10-01",66,26,24,14,11
"2022-11-01",64,21,21,13,10
"2022-12-01",60,18,19,14,7
"2023-01-01",93,23,21,16,9
"2023-02-01",78,41,26,15,12
"2023-03-01",77,35,30,14,12
"2023-04-01",72,37,28,15,11
"2023-05-01",76,41,31,14,10
"2023-06-01",77,55,28,16,9
"2023-07-01",82,51,27,15,9
"2023-08-01",80,35,28,15,9
"2023-09-01",75,37,28,15,9
"2023-10-01",69,28,29,15,8
"2023-11-01",64,29,28,14,7
"2023-12-01",66,21,22,15,6
"2024-01-01",100,35,23,16,9
"2024-02-01",85,42,30,15,11
"2024-03-01",79,36,31,15,11
"2024-04-01",77,33,33,16,10
"2024-05-01",73,41,34,16,10
"2024-06-01",69,36,28,14,8
"2024-07-01",77,40,31,14,8
"2024-08-01",82,45,35,15,10
"2024-09-01",75,21,33,15,9
"2024-10-01",77,18,34,15,9
"2024-11-01",71,20,29,15,7
"2024-12-01",70,16,28,14,5
"2025-01-01",91,20,32,17,8
"2025-02-01",90,27,37,17,11
"2025-03-01",80,24,39,15,9
"2025-04-01",77,25,35,15,8
"2025-05-01",85,35,37,15,9
"2025-06-01",76,26,37,16,8
"2025-07-01",86,32,40,15,9
"2025-08-01",81,26,37,13,8
"2025-09-01",82,37,37,13,8
"2025-10-01",71,19,36,13,8
"2025-11-01",76,19,39,14,8
"2025-12-01",73,18,31,13,6
"2026-01-01",99,18,32,15,7
"2026-02-01",92,24,37,15,8
"2026-03-01",87,27,38,14,9
