"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",53,22,26,21,9
"2021-01-01",80,29,28,29,13
"2021-02-01",70,29,29,27,12
"2021-03-01",74,32,33,25,15
"2021-04-01",70,28,30,26,19
"2021-05-01",58,32,32,28,16
"2021-06-01",70,31,27,27,13
"2021-07-01",69,73,29,25,18
"2021-08-01",68,29,29,25,15
"2021-09-01",63,25,26,22,14
"2021-10-01",63,21,28,23,14
"2021-11-01",59,21,27,31,16
"2021-12-01",57,18,26,25,10
"2022-01-01",79,19,28,29,11
"2022-02-01",74,21,26,29,9
"2022-03-01",68,20,29,29,13
"2022-04-01",66,20,28,27,12
"2022-05-01",67,25,29,28,13
"2022-06-01",66,20,28,23,10
"2022-07-01",75,22,27,24,9
"2022-08-01",72,20,28,23,11
"2022-09-01",70,20,28,22,11
"2022-10-01",85,17,28,21,10
"2022-11-01",65,14,26,22,9
"2022-12-01",62,30,23,24,6
"2023-01-01",94,17,28,30,8
"2023-02-01",72,18,25,28,10
"2023-03-01",79,18,27,28,10
"2023-04-01",71,20,28,27,11
"2023-05-01",79,22,33,27,10
"2023-06-01",71,21,29,24,11
"2023-07-01",79,25,27,25,8
"2023-08-01",80,22,29,23,9
"2023-09-01",77,19,29,22,8
"2023-10-01",70,20,29,23,9
"2023-11-01",64,17,24,24,7
"2023-12-01",66,39,24,24,5
"2024-01-01",94,18,26,31,7
"2024-02-01",78,19,27,28,8
"2024-03-01",73,18,28,27,7
"2024-04-01",79,20,29,28,8
"2024-05-01",77,22,28,25,10
"2024-06-01",71,19,26,24,7
"2024-07-01",77,25,26,22,7
"2024-08-01",78,26,34,22,8
"2024-09-01",79,15,30,22,8
"2024-10-01",75,14,28,20,9
"2024-11-01",69,14,27,24,6
"2024-12-01",70,38,27,26,5
"2025-01-01",94,15,31,31,8
"2025-02-01",81,16,27,29,6
"2025-03-01",78,16,29,26,8
"2025-04-01",75,18,32,25,7
"2025-05-01",76,19,35,22,8
"2025-06-01",77,17,36,23,7
"2025-07-01",82,21,35,23,7
"2025-08-01",82,17,36,21,8
"2025-09-01",77,22,32,19,8
"2025-10-01",76,16,31,20,8
"2025-11-01",79,13,38,23,6
"2025-12-01",80,44,39,25,6
"2026-01-01",100,17,39,28,7
"2026-02-01",100,20,39,28,6
"2026-03-01",90,18,40,24,7
