"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",11,13,57,24,2
"2021-01-01",8,13,90,29,3
"2021-02-01",8,15,68,26,3
"2021-03-01",6,21,76,25,4
"2021-04-01",8,24,67,24,4
"2021-05-01",18,25,60,25,3
"2021-06-01",19,28,43,24,2
"2021-07-01",18,27,42,24,2
"2021-08-01",20,22,51,27,2
"2021-09-01",23,17,61,33,2
"2021-10-01",20,10,48,29,2
"2021-11-01",18,9,40,28,2
"2021-12-01",18,8,44,24,2
"2022-01-01",26,9,59,34,3
"2022-02-01",30,10,50,30,3
"2022-03-01",19,15,52,26,3
"2022-04-01",21,16,58,26,3
"2022-05-01",18,20,59,25,3
"2022-06-01",22,19,49,24,3
"2022-07-01",23,24,40,25,3
"2022-08-01",24,20,50,27,2
"2022-09-01",27,14,56,29,2
"2022-10-01",27,10,53,28,2
"2022-11-01",25,9,44,27,2
"2022-12-01",25,8,41,22,2
"2023-01-01",29,9,52,33,3
"2023-02-01",26,10,46,30,3
"2023-03-01",28,13,53,30,4
"2023-04-01",28,17,62,29,3
"2023-05-01",23,20,71,27,3
"2023-06-01",23,21,57,24,3
"2023-07-01",26,29,43,26,3
"2023-08-01",25,23,53,29,3
"2023-09-01",28,17,66,32,3
"2023-10-01",27,10,60,32,2
"2023-11-01",26,9,49,29,3
"2023-12-01",24,8,42,24,2
"2024-01-01",32,10,53,39,3
"2024-02-01",30,13,56,35,3
"2024-03-01",28,17,63,30,3
"2024-04-01",25,23,76,27,3
"2024-05-01",23,25,74,24,3
"2024-06-01",32,26,65,26,2
"2024-07-01",26,33,54,30,3
"2024-08-01",27,26,65,31,2
"2024-09-01",30,20,68,31,2
"2024-10-01",32,14,65,31,2
"2024-11-01",30,11,53,31,2
"2024-12-01",29,11,52,29,2
"2025-01-01",34,11,62,38,3
"2025-02-01",34,13,58,36,3
"2025-03-01",31,18,69,31,3
"2025-04-01",30,22,81,30,2
"2025-05-01",31,24,88,28,2
"2025-06-01",29,33,73,27,2
"2025-07-01",30,46,71,31,2
"2025-08-01",31,39,79,32,2
"2025-09-01",32,33,90,33,2
"2025-10-01",32,23,76,32,2
"2025-11-01",38,23,74,33,2
"2025-12-01",38,22,70,31,2
"2026-01-01",48,21,78,38,3
"2026-02-01",49,29,82,40,3
"2026-03-01",40,37,100,32,3
