"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",8,17,30,72,4
"2021-01-01",8,19,38,85,6
"2021-02-01",10,25,38,79,7
"2021-03-01",11,26,34,66,5
"2021-04-01",14,32,34,66,6
"2021-05-01",18,36,35,63,5
"2021-06-01",32,40,35,64,5
"2021-07-01",26,39,34,67,5
"2021-08-01",27,36,34,69,5
"2021-09-01",30,31,29,69,5
"2021-10-01",28,23,29,68,5
"2021-11-01",28,17,25,69,4
"2021-12-01",24,15,19,65,5
"2022-01-01",34,22,27,90,8
"2022-02-01",30,23,23,82,7
"2022-03-01",29,32,22,70,6
"2022-04-01",29,34,20,72,6
"2022-05-01",27,42,20,70,6
"2022-06-01",27,38,20,73,6
"2022-07-01",27,40,27,66,6
"2022-08-01",33,42,27,70,6
"2022-09-01",37,30,26,74,5
"2022-10-01",35,26,25,74,6
"2022-11-01",38,21,21,75,5
"2022-12-01",33,18,20,68,5
"2023-01-01",45,23,24,98,7
"2023-02-01",38,24,24,83,7
"2023-03-01",44,28,40,88,7
"2023-04-01",44,34,38,81,6
"2023-05-01",48,43,49,77,7
"2023-06-01",40,44,41,78,6
"2023-07-01",40,44,36,82,6
"2023-08-01",36,40,36,85,6
"2023-09-01",42,37,37,86,6
"2023-10-01",38,23,30,83,6
"2023-11-01",43,18,27,83,6
"2023-12-01",37,16,26,78,5
"2024-01-01",48,24,35,100,7
"2024-02-01",48,24,36,90,7
"2024-03-01",44,31,39,84,7
"2024-04-01",44,37,47,85,7
"2024-05-01",42,43,45,75,7
"2024-06-01",42,36,44,76,6
"2024-07-01",39,39,43,77,6
"2024-08-01",39,44,48,74,7
"2024-09-01",48,30,51,80,6
"2024-10-01",50,24,47,78,7
"2024-11-01",50,20,44,83,6
"2024-12-01",48,19,43,82,6
"2025-01-01",58,23,49,99,9
"2025-02-01",56,24,44,84,7
"2025-03-01",52,34,51,80,6
"2025-04-01",53,41,57,76,7
"2025-05-01",49,46,58,76,6
"2025-06-01",47,43,56,74,7
"2025-07-01",47,44,54,73,6
"2025-08-01",46,46,54,77,6
"2025-09-01",45,35,55,76,5
"2025-10-01",47,26,48,77,5
"2025-11-01",63,27,60,80,7
"2025-12-01",66,27,57,78,6
"2026-01-01",78,30,57,90,8
"2026-02-01",83,42,75,96,8
"2026-03-01",73,49,73,78,8
