"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",10,9,36,31,3
"2021-01-01",8,12,49,37,4
"2021-02-01",8,14,41,35,3
"2021-03-01",7,19,40,29,3
"2021-04-01",8,21,43,28,3
"2021-05-01",18,19,37,31,4
"2021-06-01",14,25,39,27,3
"2021-07-01",16,34,40,28,3
"2021-08-01",19,27,47,36,4
"2021-09-01",16,21,46,34,3
"2021-10-01",15,13,36,37,3
"2021-11-01",14,9,33,31,3
"2021-12-01",13,8,32,28,3
"2022-01-01",17,12,39,36,5
"2022-02-01",19,14,35,30,4
"2022-03-01",16,17,34,30,4
"2022-04-01",14,20,35,29,4
"2022-05-01",15,18,34,30,4
"2022-06-01",16,23,39,28,4
"2022-07-01",15,47,37,31,3
"2022-08-01",18,26,47,31,4
"2022-09-01",16,24,41,32,4
"2022-10-01",16,17,35,30,4
"2022-11-01",18,12,32,31,4
"2022-12-01",17,12,31,33,4
"2023-01-01",19,17,36,37,5
"2023-02-01",17,22,37,38,5
"2023-03-01",21,24,45,33,5
"2023-04-01",20,29,53,32,5
"2023-05-01",21,28,78,31,5
"2023-06-01",20,42,66,31,5
"2023-07-01",22,64,56,33,4
"2023-08-01",25,55,74,36,5
"2023-09-01",23,38,70,35,5
"2023-10-01",20,18,54,34,5
"2023-11-01",21,14,45,34,5
"2023-12-01",20,13,40,32,4
"2024-01-01",25,18,50,39,6
"2024-02-01",26,25,54,34,5
"2024-03-01",23,27,67,33,5
"2024-04-01",22,32,77,33,5
"2024-05-01",21,27,89,28,5
"2024-06-01",23,33,78,28,4
"2024-07-01",22,47,68,29,4
"2024-08-01",24,39,100,33,4
"2024-09-01",24,40,79,34,4
"2024-10-01",23,23,70,32,4
"2024-11-01",23,13,58,32,4
"2024-12-01",21,14,51,33,4
"2025-01-01",26,19,63,36,5
"2025-02-01",23,23,58,34,5
"2025-03-01",22,30,75,32,5
"2025-04-01",21,34,76,29,3
"2025-05-01",20,34,89,32,3
"2025-06-01",21,43,93,29,4
"2025-07-01",26,48,70,30,3
"2025-08-01",25,37,85,38,3
"2025-09-01",24,43,82,33,3
"2025-10-01",22,41,58,30,4
"2025-11-01",30,17,58,33,4
"2025-12-01",31,16,55,32,4
"2026-01-01",31,19,58,37,4
"2026-02-01",33,22,56,35,4
"2026-03-01",30,33,66,31,4
