"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",35,7,21,15,11
"2021-01-01",36,8,21,14,12
"2021-02-01",46,10,22,15,13
"2021-03-01",48,9,21,17,13
"2021-04-01",57,9,22,20,11
"2021-05-01",51,9,22,19,12
"2021-06-01",52,10,23,17,13
"2021-07-01",52,10,25,17,13
"2021-08-01",56,9,23,17,7
"2021-09-01",49,7,20,15,8
"2021-10-01",46,8,23,15,13
"2021-11-01",46,6,23,15,12
"2021-12-01",39,7,21,16,8
"2022-01-01",55,6,22,15,10
"2022-02-01",54,8,23,14,13
"2022-03-01",59,9,22,14,12
"2022-04-01",57,7,21,14,11
"2022-05-01",60,7,20,15,10
"2022-06-01",63,6,20,14,10
"2022-07-01",63,7,18,13,9
"2022-08-01",60,5,19,13,8
"2022-09-01",57,6,18,12,8
"2022-10-01",56,5,23,11,11
"2022-11-01",54,6,22,12,9
"2022-12-01",48,5,17,12,6
"2023-01-01",63,6,17,13,7
"2023-02-01",65,7,19,13,9
"2023-03-01",59,6,21,13,9
"2023-04-01",60,6,19,13,9
"2023-05-01",59,6,22,12,10
"2023-06-01",65,6,19,14,9
"2023-07-01",74,6,17,13,8
"2023-08-01",70,6,18,12,7
"2023-09-01",61,6,21,11,11
"2023-10-01",61,5,21,11,12
"2023-11-01",54,5,19,11,9
"2023-12-01",46,4,16,9,6
"2024-01-01",67,5,17,12,8
"2024-02-01",70,6,19,13,8
"2024-03-01",70,6,20,13,8
"2024-04-01",69,6,21,14,10
"2024-05-01",70,7,21,13,11
"2024-06-01",70,6,20,14,8
"2024-07-01",79,7,20,13,6
"2024-08-01",79,6,33,15,6
"2024-09-01",67,4,23,12,14
"2024-10-01",65,5,23,14,15
"2024-11-01",59,5,20,13,9
"2024-12-01",58,4,21,16,6
"2025-01-01",78,5,21,15,8
"2025-02-01",74,6,21,14,9
"2025-03-01",74,5,24,14,7
"2025-04-01",68,6,21,14,6
"2025-05-01",73,7,22,15,7
"2025-06-01",75,7,24,16,7
"2025-07-01",73,6,22,12,6
"2025-08-01",68,4,23,11,7
"2025-09-01",65,5,22,9,8
"2025-10-01",61,5,23,11,11
"2025-11-01",62,6,24,12,8
"2025-12-01",67,6,24,15,6
"2026-01-01",87,6,26,14,7
"2026-02-01",100,11,33,20,7
"2026-03-01",76,8,27,13,7
