"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",26,9,27,47,8
"2021-01-01",28,9,26,47,9
"2021-02-01",43,11,30,49,11
"2021-03-01",36,9,29,52,7
"2021-04-01",32,10,31,47,8
"2021-05-01",36,12,28,58,6
"2021-06-01",47,13,30,55,11
"2021-07-01",41,17,30,60,9
"2021-08-01",36,15,34,60,10
"2021-09-01",47,12,31,60,9
"2021-10-01",47,11,43,55,8
"2021-11-01",38,10,36,47,7
"2021-12-01",36,12,37,64,7
"2022-01-01",37,12,35,49,8
"2022-02-01",48,11,38,46,9
"2022-03-01",44,10,30,46,8
"2022-04-01",37,11,31,35,7
"2022-05-01",52,13,28,55,9
"2022-06-01",57,15,30,55,13
"2022-07-01",46,19,32,56,13
"2022-08-01",48,16,30,51,12
"2022-09-01",43,14,29,49,12
"2022-10-01",44,13,33,40,13
"2022-11-01",36,10,30,35,11
"2022-12-01",39,11,29,39,9
"2023-01-01",40,12,30,38,9
"2023-02-01",40,10,32,36,10
"2023-03-01",40,16,33,31,11
"2023-04-01",44,9,32,38,11
"2023-05-01",53,10,36,40,15
"2023-06-01",56,9,35,43,13
"2023-07-01",62,15,32,44,12
"2023-08-01",60,15,34,50,12
"2023-09-01",52,10,35,43,9
"2023-10-01",48,8,36,37,11
"2023-11-01",43,7,36,36,10
"2023-12-01",41,5,29,40,7
"2024-01-01",42,6,30,35,7
"2024-02-01",45,7,33,42,8
"2024-03-01",40,7,32,32,7
"2024-04-01",42,6,29,46,7
"2024-05-01",49,9,31,46,9
"2024-06-01",48,8,25,46,10
"2024-07-01",54,10,30,46,9
"2024-08-01",57,10,39,50,10
"2024-09-01",49,6,30,44,9
"2024-10-01",47,6,32,41,8
"2024-11-01",45,5,30,41,8
"2024-12-01",50,4,27,43,7
"2025-01-01",48,5,28,41,8
"2025-02-01",45,7,28,42,7
"2025-03-01",39,5,25,36,6
"2025-04-01",64,7,26,48,8
"2025-05-01",50,5,28,44,8
"2025-06-01",52,8,27,47,7
"2025-07-01",51,8,27,44,7
"2025-08-01",48,8,33,42,7
"2025-09-01",54,11,25,38,8
"2025-10-01",51,9,31,37,7
"2025-11-01",57,10,39,35,8
"2025-12-01",57,10,32,39,7
"2026-01-01",55,11,33,42,6
"2026-02-01",100,44,94,99,9
"2026-03-01",43,10,36,40,7
