"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",40,29,26,20,22
"2021-01-01",58,23,29,21,27
"2021-02-01",53,21,31,25,23
"2021-03-01",56,29,30,25,24
"2021-04-01",53,28,27,20,20
"2021-05-01",52,25,31,25,27
"2021-06-01",49,43,33,34,36
"2021-07-01",54,76,31,20,30
"2021-08-01",58,38,31,20,27
"2021-09-01",62,29,35,19,33
"2021-10-01",54,20,32,18,27
"2021-11-01",51,18,33,20,27
"2021-12-01",51,20,31,19,24
"2022-01-01",60,24,38,21,40
"2022-02-01",64,41,40,21,35
"2022-03-01",62,31,36,18,22
"2022-04-01",68,23,28,18,16
"2022-05-01",63,34,32,16,16
"2022-06-01",53,21,38,15,22
"2022-07-01",68,29,33,16,21
"2022-08-01",69,24,32,16,20
"2022-09-01",64,29,31,15,17
"2022-10-01",64,17,33,16,16
"2022-11-01",57,20,30,14,16
"2022-12-01",55,16,27,13,13
"2023-01-01",79,19,31,17,17
"2023-02-01",67,18,26,14,14
"2023-03-01",75,22,31,16,12
"2023-04-01",66,22,26,17,11
"2023-05-01",60,18,34,15,15
"2023-06-01",67,33,36,16,16
"2023-07-01",66,26,27,16,15
"2023-08-01",67,18,28,15,15
"2023-09-01",67,25,31,15,12
"2023-10-01",54,24,33,14,14
"2023-11-01",56,15,29,14,12
"2023-12-01",58,14,27,13,11
"2024-01-01",73,17,32,16,23
"2024-02-01",72,23,28,17,16
"2024-03-01",75,18,26,15,10
"2024-04-01",63,15,26,14,10
"2024-05-01",64,21,28,14,11
"2024-06-01",61,17,32,16,12
"2024-07-01",65,33,30,15,12
"2024-08-01",72,43,27,14,12
"2024-09-01",68,19,31,14,12
"2024-10-01",60,13,29,13,12
"2024-11-01",63,19,29,14,13
"2024-12-01",65,13,27,15,11
"2025-01-01",82,17,34,19,15
"2025-02-01",72,20,34,19,11
"2025-03-01",75,18,30,21,9
"2025-04-01",69,16,31,21,9
"2025-05-01",73,27,35,20,10
"2025-06-01",69,20,39,22,12
"2025-07-01",72,22,36,15,12
"2025-08-01",74,15,36,14,10
"2025-09-01",71,25,32,13,10
"2025-10-01",66,14,33,13,10
"2025-11-01",70,15,40,17,11
"2025-12-01",76,15,36,16,10
"2026-01-01",100,17,40,19,12
"2026-02-01",86,17,40,23,11
"2026-03-01",80,18,35,15,9
