"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",42,3,11,15,3
"2021-01-01",44,3,11,17,4
"2021-02-01",46,2,11,16,5
"2021-03-01",54,3,11,17,4
"2021-04-01",47,3,11,16,4
"2021-05-01",60,3,11,17,5
"2021-06-01",71,4,13,18,5
"2021-07-01",71,4,14,18,5
"2021-08-01",71,4,13,18,5
"2021-09-01",71,4,14,21,5
"2021-10-01",65,3,15,17,4
"2021-11-01",58,4,16,18,4
"2021-12-01",49,3,12,15,3
"2022-01-01",48,3,12,14,4
"2022-02-01",52,3,11,15,4
"2022-03-01",53,3,12,13,4
"2022-04-01",48,3,12,12,5
"2022-05-01",61,3,11,14,7
"2022-06-01",70,3,12,15,7
"2022-07-01",71,4,13,15,7
"2022-08-01",76,4,13,15,7
"2022-09-01",78,4,14,18,6
"2022-10-01",69,5,14,19,5
"2022-11-01",56,4,13,15,5
"2022-12-01",53,4,13,15,4
"2023-01-01",49,4,12,15,4
"2023-02-01",52,3,11,15,4
"2023-03-01",56,3,12,14,5
"2023-04-01",54,3,11,14,4
"2023-05-01",78,3,13,14,6
"2023-06-01",80,3,12,15,6
"2023-07-01",89,3,11,15,6
"2023-08-01",78,3,11,15,6
"2023-09-01",77,3,11,15,6
"2023-10-01",66,3,11,15,4
"2023-11-01",67,3,11,14,4
"2023-12-01",56,2,10,14,4
"2024-01-01",52,2,10,14,4
"2024-02-01",62,2,10,15,4
"2024-03-01",54,2,10,15,4
"2024-04-01",68,2,11,17,5
"2024-05-01",82,2,11,16,6
"2024-06-01",86,2,10,15,4
"2024-07-01",97,2,10,15,5
"2024-08-01",86,2,11,15,4
"2024-09-01",83,2,11,15,4
"2024-10-01",80,3,11,15,4
"2024-11-01",75,2,11,16,4
"2024-12-01",71,2,10,16,4
"2025-01-01",74,2,10,15,4
"2025-02-01",84,2,10,15,4
"2025-03-01",63,2,9,13,3
"2025-04-01",90,2,10,16,4
"2025-05-01",87,3,10,15,4
"2025-06-01",90,3,10,17,3
"2025-07-01",100,2,9,14,4
"2025-08-01",85,2,8,13,3
"2025-09-01",81,2,8,13,3
"2025-10-01",81,2,9,12,3
"2025-11-01",81,4,15,14,4
"2025-12-01",78,3,13,13,3
"2026-01-01",77,3,12,14,3
"2026-02-01",77,8,19,19,3
"2026-03-01",75,3,12,13,3
