"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",45,31,46,25,5
"2021-01-01",55,29,52,26,6
"2021-02-01",56,32,53,27,7
"2021-03-01",59,35,43,24,6
"2021-04-01",58,37,41,25,6
"2021-05-01",57,37,36,23,5
"2021-06-01",57,36,32,22,5
"2021-07-01",56,47,32,21,5
"2021-08-01",63,52,37,22,5
"2021-09-01",79,46,38,27,5
"2021-10-01",63,26,36,23,5
"2021-11-01",60,22,38,22,5
"2021-12-01",49,21,35,20,4
"2022-01-01",71,27,44,26,5
"2022-02-01",77,30,40,25,6
"2022-03-01",72,29,37,27,5
"2022-04-01",67,30,35,23,5
"2022-05-01",67,34,35,23,5
"2022-06-01",70,31,32,22,5
"2022-07-01",73,40,33,22,4
"2022-08-01",80,54,34,22,5
"2022-09-01",89,55,38,27,4
"2022-10-01",74,24,39,25,5
"2022-11-01",69,21,39,23,5
"2022-12-01",66,20,36,20,4
"2023-01-01",85,25,41,26,5
"2023-02-01",77,30,36,25,5
"2023-03-01",72,34,38,24,5
"2023-04-01",70,39,38,24,5
"2023-05-01",66,35,36,23,5
"2023-06-01",70,37,36,23,4
"2023-07-01",75,49,34,23,4
"2023-08-01",77,59,35,22,5
"2023-09-01",88,62,41,27,4
"2023-10-01",73,27,41,25,5
"2023-11-01",67,23,40,25,4
"2023-12-01",62,25,38,21,4
"2024-01-01",79,27,41,25,5
"2024-02-01",80,31,39,26,5
"2024-03-01",75,32,37,23,4
"2024-04-01",77,34,43,22,5
"2024-05-01",71,33,41,21,5
"2024-06-01",68,29,35,21,4
"2024-07-01",77,42,35,20,4
"2024-08-01",81,57,42,21,4
"2024-09-01",96,29,47,24,5
"2024-10-01",75,23,45,23,5
"2024-11-01",68,19,48,22,5
"2024-12-01",67,22,47,19,4
"2025-01-01",81,25,53,25,5
"2025-02-01",82,29,49,23,5
"2025-03-01",80,32,49,23,5
"2025-04-01",80,31,49,21,4
"2025-05-01",72,34,44,20,4
"2025-06-01",75,32,40,21,4
"2025-07-01",76,42,40,19,4
"2025-08-01",84,46,47,20,4
"2025-09-01",92,76,46,22,4
"2025-10-01",77,27,45,21,4
"2025-11-01",74,22,55,21,5
"2025-12-01",75,23,51,19,4
"2026-01-01",91,25,55,21,4
"2026-02-01",100,33,60,31,5
"2026-03-01",89,34,56,21,5
