"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",62,3,23,48,17
"2021-01-01",53,5,25,48,17
"2021-02-01",54,4,26,41,24
"2021-03-01",53,8,32,45,15
"2021-04-01",56,7,35,42,16
"2021-05-01",62,5,41,46,15
"2021-06-01",65,10,43,55,14
"2021-07-01",70,10,50,52,18
"2021-08-01",72,6,50,48,22
"2021-09-01",70,6,28,46,13
"2021-10-01",65,5,32,46,13
"2021-11-01",54,7,32,39,19
"2021-12-01",64,6,34,43,19
"2022-01-01",61,5,35,42,22
"2022-02-01",59,6,34,39,15
"2022-03-01",59,8,44,32,16
"2022-04-01",65,7,42,40,11
"2022-05-01",71,18,37,47,12
"2022-06-01",81,11,45,42,22
"2022-07-01",87,10,52,43,25
"2022-08-01",77,8,37,34,17
"2022-09-01",77,12,28,38,11
"2022-10-01",71,7,36,29,13
"2022-11-01",75,7,32,27,20
"2022-12-01",64,4,34,32,23
"2023-01-01",68,7,29,34,20
"2023-02-01",61,8,28,28,13
"2023-03-01",65,9,31,25,19
"2023-04-01",62,6,27,25,15
"2023-05-01",70,7,31,23,17
"2023-06-01",76,6,28,28,14
"2023-07-01",100,19,22,26,10
"2023-08-01",85,8,39,27,8
"2023-09-01",78,6,19,26,8
"2023-10-01",70,5,22,22,10
"2023-11-01",69,3,22,22,12
"2023-12-01",65,3,22,20,12
"2024-01-01",70,2,17,23,11
"2024-02-01",68,3,22,23,8
"2024-03-01",67,5,22,22,7
"2024-04-01",62,4,21,20,8
"2024-05-01",70,7,17,19,6
"2024-06-01",71,3,18,22,8
"2024-07-01",84,24,24,25,7
"2024-08-01",62,8,42,21,6
"2024-09-01",64,6,12,23,5
"2024-10-01",57,5,17,19,6
"2024-11-01",58,2,16,19,7
"2024-12-01",54,3,18,21,8
"2025-01-01",51,3,18,19,10
"2025-02-01",54,3,16,22,6
"2025-03-01",53,5,19,19,4
"2025-04-01",56,3,16,21,5
"2025-05-01",59,5,13,20,6
"2025-06-01",61,6,22,23,5
"2025-07-01",69,13,18,20,4
"2025-08-01",55,4,13,18,4
"2025-09-01",49,4,19,18,3
"2025-10-01",47,3,14,16,5
"2025-11-01",53,3,18,16,6
"2025-12-01",50,3,18,16,6
"2026-01-01",57,4,23,20,7
"2026-02-01",59,15,33,28,6
"2026-03-01",50,5,22,15,6
