"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",74,10,34,36,6
"2021-01-01",100,11,34,40,7
"2021-02-01",92,11,32,34,6
"2021-03-01",100,16,40,39,7
"2021-04-01",78,28,50,29,6
"2021-05-01",68,31,42,27,5
"2021-06-01",67,36,41,25,4
"2021-07-01",73,36,47,27,4
"2021-08-01",89,25,53,38,5
"2021-09-01",83,19,37,34,5
"2021-10-01",77,12,35,33,5
"2021-11-01",70,10,28,33,5
"2021-12-01",82,6,26,29,5
"2022-01-01",90,9,35,36,7
"2022-02-01",75,8,32,35,8
"2022-03-01",54,11,35,31,6
"2022-04-01",45,15,39,30,6
"2022-05-01",44,19,45,29,6
"2022-06-01",45,23,43,25,5
"2022-07-01",48,23,49,30,5
"2022-08-01",56,19,53,33,6
"2022-09-01",57,13,51,33,5
"2022-10-01",58,11,37,32,6
"2022-11-01",65,10,35,32,4
"2022-12-01",62,8,30,30,5
"2023-01-01",81,10,36,40,7
"2023-02-01",65,10,35,36,6
"2023-03-01",62,12,39,36,6
"2023-04-01",57,18,51,30,6
"2023-05-01",52,21,61,28,4
"2023-06-01",51,26,50,26,4
"2023-07-01",50,25,51,31,6
"2023-08-01",60,20,58,36,7
"2023-09-01",69,14,54,37,6
"2023-10-01",74,11,42,34,6
"2023-11-01",71,9,35,33,6
"2023-12-01",60,8,32,31,5
"2024-01-01",80,11,37,39,7
"2024-02-01",67,17,39,39,7
"2024-03-01",68,24,48,34,7
"2024-04-01",63,35,56,32,7
"2024-05-01",55,53,69,29,6
"2024-06-01",54,55,58,27,5
"2024-07-01",54,53,61,31,5
"2024-08-01",62,46,64,36,6
"2024-09-01",71,32,64,35,6
"2024-10-01",70,20,49,33,6
"2024-11-01",63,16,41,36,6
"2024-12-01",74,13,38,35,5
"2025-01-01",83,19,46,43,7
"2025-02-01",76,20,45,38,8
"2025-03-01",68,28,55,38,7
"2025-04-01",60,38,61,30,6
"2025-05-01",59,44,73,30,6
"2025-06-01",57,55,70,29,5
"2025-07-01",59,58,66,30,5
"2025-08-01",68,41,69,36,6
"2025-09-01",68,31,71,34,5
"2025-10-01",68,21,49,32,5
"2025-11-01",77,20,53,35,6
"2025-12-01",82,19,48,32,6
"2026-01-01",100,21,53,40,8
"2026-02-01",89,30,59,39,6
"2026-03-01",75,36,67,34,7
