"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",17,14,38,22,4
"2021-01-01",25,16,45,25,5
"2021-02-01",19,21,39,23,5
"2021-03-01",18,29,38,22,5
"2021-04-01",20,28,39,23,5
"2021-05-01",33,29,36,23,5
"2021-06-01",43,40,33,23,4
"2021-07-01",40,48,35,20,4
"2021-08-01",37,38,37,26,5
"2021-09-01",44,34,45,33,4
"2021-10-01",34,26,46,25,4
"2021-11-01",30,18,40,24,4
"2021-12-01",25,16,33,21,4
"2022-01-01",35,20,36,27,5
"2022-02-01",33,25,36,25,4
"2022-03-01",35,30,42,25,5
"2022-04-01",29,34,38,23,4
"2022-05-01",30,33,42,24,4
"2022-06-01",29,41,38,23,5
"2022-07-01",12,57,35,24,4
"2022-08-01",13,46,41,29,5
"2022-09-01",22,31,50,34,5
"2022-10-01",16,26,51,28,5
"2022-11-01",16,20,43,27,4
"2022-12-01",14,18,37,22,3
"2023-01-01",18,22,40,29,4
"2023-02-01",18,25,39,27,5
"2023-03-01",26,32,52,27,5
"2023-04-01",26,37,51,27,5
"2023-05-01",22,36,53,26,6
"2023-06-01",21,53,49,28,4
"2023-07-01",17,62,44,26,4
"2023-08-01",22,58,50,33,4
"2023-09-01",34,34,61,38,5
"2023-10-01",20,21,64,31,4
"2023-11-01",20,16,58,31,4
"2023-12-01",18,15,52,27,3
"2024-01-01",26,19,55,34,4
"2024-02-01",23,21,55,30,5
"2024-03-01",21,27,65,26,4
"2024-04-01",19,29,69,28,4
"2024-05-01",18,31,64,26,4
"2024-06-01",19,35,55,26,4
"2024-07-01",15,49,55,25,4
"2024-08-01",17,62,72,28,5
"2024-09-01",28,28,85,36,5
"2024-10-01",19,23,86,27,4
"2024-11-01",19,15,84,26,4
"2024-12-01",16,15,71,25,4
"2025-01-01",20,16,66,29,4
"2025-02-01",18,21,66,26,4
"2025-03-01",18,26,89,27,4
"2025-04-01",16,33,86,25,4
"2025-05-01",16,29,81,24,4
"2025-06-01",18,39,72,24,4
"2025-07-01",13,57,68,24,3
"2025-08-01",16,38,80,28,4
"2025-09-01",27,41,95,33,4
"2025-10-01",19,27,97,25,4
"2025-11-01",24,17,100,26,4
"2025-12-01",25,18,85,23,4
"2026-01-01",28,18,86,27,4
"2026-02-01",34,28,91,36,4
"2026-03-01",26,33,96,25,4
