"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",51,21,50,18,3
"2021-01-01",32,22,62,26,5
"2021-02-01",31,21,59,22,5
"2021-03-01",35,27,54,20,4
"2021-04-01",69,30,49,17,4
"2021-05-01",74,28,42,18,4
"2021-06-01",64,31,38,19,4
"2021-07-01",60,33,40,18,3
"2021-08-01",64,30,42,18,3
"2021-09-01",63,24,32,18,3
"2021-10-01",59,18,36,17,3
"2021-11-01",58,15,36,16,3
"2021-12-01",54,14,34,15,2
"2022-01-01",82,20,45,23,5
"2022-02-01",68,17,37,21,4
"2022-03-01",63,19,37,19,4
"2022-04-01",59,23,39,17,3
"2022-05-01",59,22,31,19,4
"2022-06-01",61,26,37,19,3
"2022-07-01",58,30,36,18,3
"2022-08-01",63,29,36,18,3
"2022-09-01",64,21,36,18,3
"2022-10-01",62,19,35,19,3
"2022-11-01",63,15,31,18,3
"2022-12-01",61,14,29,17,2
"2023-01-01",90,16,38,24,4
"2023-02-01",78,17,37,22,4
"2023-03-01",74,16,37,21,4
"2023-04-01",73,19,43,20,4
"2023-05-01",68,22,48,19,4
"2023-06-01",71,24,41,20,3
"2023-07-01",77,26,42,22,3
"2023-08-01",74,30,43,20,3
"2023-09-01",74,20,44,20,3
"2023-10-01",69,15,40,20,3
"2023-11-01",69,14,38,20,3
"2023-12-01",68,12,37,18,3
"2024-01-01",89,15,48,25,4
"2024-02-01",78,16,48,23,4
"2024-03-01",73,16,51,20,4
"2024-04-01",74,18,59,21,4
"2024-05-01",68,22,56,19,4
"2024-06-01",67,22,46,19,3
"2024-07-01",68,23,42,19,3
"2024-08-01",71,28,51,19,3
"2024-09-01",73,18,48,19,3
"2024-10-01",70,15,45,19,3
"2024-11-01",65,13,41,17,3
"2024-12-01",71,12,40,17,3
"2025-01-01",94,13,50,23,4
"2025-02-01",79,14,51,22,4
"2025-03-01",77,16,54,20,4
"2025-04-01",76,20,62,19,4
"2025-05-01",73,21,56,18,4
"2025-06-01",77,20,51,19,4
"2025-07-01",77,21,47,18,3
"2025-08-01",79,19,47,19,3
"2025-09-01",78,18,47,17,2
"2025-10-01",74,15,44,18,3
"2025-11-01",76,14,46,18,3
"2025-12-01",80,14,47,17,3
"2026-01-01",100,15,55,23,4
"2026-02-01",97,20,62,32,4
"2026-03-01",91,20,61,19,4
