"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",67,4,31,44,6
"2021-01-01",67,6,31,41,7
"2021-02-01",61,6,35,32,9
"2021-03-01",76,7,43,38,11
"2021-04-01",62,9,39,42,9
"2021-05-01",56,5,36,36,10
"2021-06-01",61,6,38,33,10
"2021-07-01",86,8,38,33,11
"2021-08-01",80,6,42,32,11
"2021-09-01",68,5,27,32,12
"2021-10-01",62,5,32,32,9
"2021-11-01",56,6,34,33,8
"2021-12-01",59,6,33,40,5
"2022-01-01",68,4,35,32,9
"2022-02-01",56,4,35,27,12
"2022-03-01",62,7,36,27,13
"2022-04-01",62,6,34,25,11
"2022-05-01",56,7,28,29,9
"2022-06-01",57,6,40,27,9
"2022-07-01",70,4,40,27,13
"2022-08-01",66,5,33,22,12
"2022-09-01",57,5,35,21,11
"2022-10-01",64,4,31,21,9
"2022-11-01",57,4,28,21,9
"2022-12-01",56,6,34,22,8
"2023-01-01",70,6,30,28,9
"2023-02-01",66,8,31,29,12
"2023-03-01",60,6,36,25,10
"2023-04-01",63,5,29,21,14
"2023-05-01",61,5,41,24,10
"2023-06-01",66,6,30,24,10
"2023-07-01",64,5,28,22,10
"2023-08-01",59,5,25,22,10
"2023-09-01",66,6,23,22,9
"2023-10-01",64,5,23,21,8
"2023-11-01",60,6,23,19,9
"2023-12-01",60,4,19,24,7
"2024-01-01",63,4,22,19,8
"2024-02-01",61,6,24,22,9
"2024-03-01",59,6,25,20,10
"2024-04-01",64,3,20,22,7
"2024-05-01",67,4,21,21,8
"2024-06-01",66,6,21,19,8
"2024-07-01",66,6,21,22,9
"2024-08-01",72,5,25,23,7
"2024-09-01",71,4,19,21,8
"2024-10-01",71,4,23,22,6
"2024-11-01",67,5,22,21,9
"2024-12-01",64,3,16,22,7
"2025-01-01",77,4,19,18,8
"2025-02-01",73,3,20,18,6
"2025-03-01",85,3,22,21,7
"2025-04-01",85,5,19,18,6
"2025-05-01",75,3,21,18,7
"2025-06-01",77,5,24,18,7
"2025-07-01",100,5,22,17,7
"2025-08-01",91,4,20,18,8
"2025-09-01",74,4,21,16,8
"2025-10-01",73,5,23,17,7
"2025-11-01",80,6,25,18,7
"2025-12-01",78,4,22,18,6
"2026-01-01",82,2,25,17,7
"2026-02-01",79,8,32,22,6
"2026-03-01",77,7,28,19,6
