"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",15,6,29,22,5
"2021-01-01",14,7,35,24,6
"2021-02-01",12,7,38,21,6
"2021-03-01",13,8,29,21,6
"2021-04-01",16,10,29,21,5
"2021-05-01",29,11,28,20,4
"2021-06-01",34,9,24,20,5
"2021-07-01",28,10,24,20,3
"2021-08-01",31,8,26,21,4
"2021-09-01",32,7,28,27,3
"2021-10-01",29,5,28,24,3
"2021-11-01",25,5,29,21,4
"2021-12-01",18,4,24,18,3
"2022-01-01",26,5,29,22,5
"2022-02-01",27,5,30,23,5
"2022-03-01",26,6,30,23,4
"2022-04-01",23,8,35,20,4
"2022-05-01",26,10,31,23,5
"2022-06-01",28,9,29,21,4
"2022-07-01",28,9,28,21,4
"2022-08-01",33,7,29,23,4
"2022-09-01",48,7,39,27,4
"2022-10-01",41,6,45,25,4
"2022-11-01",33,5,34,23,4
"2022-12-01",33,5,28,18,3
"2023-01-01",46,5,30,23,5
"2023-02-01",39,5,30,20,4
"2023-03-01",70,6,35,23,4
"2023-04-01",60,7,37,22,4
"2023-05-01",69,9,35,23,4
"2023-06-01",63,9,39,22,5
"2023-07-01",47,9,28,20,4
"2023-08-01",49,9,31,22,3
"2023-09-01",60,7,39,29,4
"2023-10-01",51,6,35,26,4
"2023-11-01",57,5,34,23,3
"2023-12-01",52,4,28,19,3
"2024-01-01",71,5,28,23,4
"2024-02-01",74,6,34,26,5
"2024-03-01",74,7,36,22,4
"2024-04-01",65,8,39,21,5
"2024-05-01",53,10,37,21,4
"2024-06-01",61,8,31,21,4
"2024-07-01",54,10,33,20,4
"2024-08-01",71,12,33,21,3
"2024-09-01",87,8,44,26,4
"2024-10-01",70,6,40,24,5
"2024-11-01",60,5,39,22,4
"2024-12-01",52,4,31,19,4
"2025-01-01",73,5,34,24,5
"2025-02-01",61,5,32,22,5
"2025-03-01",72,6,40,22,4
"2025-04-01",60,8,40,20,4
"2025-05-01",64,9,39,22,4
"2025-06-01",62,9,35,22,3
"2025-07-01",68,8,35,21,3
"2025-08-01",83,7,39,20,3
"2025-09-01",100,7,45,25,3
"2025-10-01",76,7,43,25,3
"2025-11-01",76,7,55,22,4
"2025-12-01",59,6,41,18,4
"2026-01-01",79,6,42,21,4
"2026-02-01",82,12,45,33,3
"2026-03-01",75,9,52,23,4
