"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",58,10,27,24,10
"2021-01-01",74,12,30,24,15
"2021-02-01",64,11,33,21,18
"2021-03-01",61,13,37,20,18
"2021-04-01",70,13,39,22,15
"2021-05-01",70,15,37,21,16
"2021-06-01",72,14,35,22,15
"2021-07-01",71,28,37,20,16
"2021-08-01",66,16,37,21,16
"2021-09-01",64,17,32,21,15
"2021-10-01",72,15,34,23,14
"2021-11-01",73,11,28,22,11
"2021-12-01",66,8,26,22,11
"2022-01-01",84,11,33,20,16
"2022-02-01",67,12,41,18,18
"2022-03-01",64,20,51,18,20
"2022-04-01",67,14,44,17,16
"2022-05-01",75,12,43,19,15
"2022-06-01",79,14,43,19,15
"2022-07-01",80,17,41,17,14
"2022-08-01",79,14,44,17,15
"2022-09-01",76,14,36,15,13
"2022-10-01",80,58,34,16,13
"2022-11-01",77,21,26,15,12
"2022-12-01",69,7,23,15,6
"2023-01-01",100,8,29,18,12
"2023-02-01",83,11,31,17,13
"2023-03-01",73,12,37,15,13
"2023-04-01",73,12,36,17,13
"2023-05-01",78,12,43,16,12
"2023-06-01",81,14,37,15,12
"2023-07-01",83,15,35,17,10
"2023-08-01",80,13,35,15,12
"2023-09-01",82,13,34,15,9
"2023-10-01",80,15,34,14,10
"2023-11-01",81,59,30,15,10
"2023-12-01",74,10,26,17,8
"2024-01-01",94,11,25,15,9
"2024-02-01",74,12,32,17,12
"2024-03-01",73,11,32,15,9
"2024-04-01",74,14,34,17,10
"2024-05-01",79,14,35,16,9
"2024-06-01",72,12,31,15,8
"2024-07-01",77,17,33,15,7
"2024-08-01",78,15,39,14,9
"2024-09-01",77,11,38,15,7
"2024-10-01",76,36,34,15,7
"2024-11-01",78,26,28,18,9
"2024-12-01",73,8,27,16,7
"2025-01-01",95,8,35,19,10
"2025-02-01",77,10,31,17,10
"2025-03-01",74,11,36,15,10
"2025-04-01",71,11,37,16,8
"2025-05-01",80,12,38,16,8
"2025-06-01",76,13,38,17,8
"2025-07-01",79,13,39,14,8
"2025-08-01",82,14,41,14,9
"2025-09-01",73,16,38,13,8
"2025-10-01",71,40,35,14,9
"2025-11-01",83,23,32,15,7
"2025-12-01",81,9,32,17,8
"2026-01-01",96,10,37,18,8
"2026-02-01",82,11,41,17,10
"2026-03-01",74,11,41,15,9
