"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",21,4,35,40,7
"2021-01-01",32,4,48,46,11
"2021-02-01",32,5,43,43,9
"2021-03-01",27,6,45,38,8
"2021-04-01",41,7,44,39,8
"2021-05-01",62,9,40,39,7
"2021-06-01",64,7,39,37,6
"2021-07-01",64,9,41,35,6
"2021-08-01",64,8,46,39,6
"2021-09-01",73,7,44,44,6
"2021-10-01",62,6,40,41,6
"2021-11-01",54,4,29,40,6
"2021-12-01",53,4,25,36,5
"2022-01-01",81,5,36,52,10
"2022-02-01",69,5,34,47,7
"2022-03-01",67,6,45,38,7
"2022-04-01",63,6,37,41,7
"2022-05-01",58,11,42,38,7
"2022-06-01",63,8,37,43,7
"2022-07-01",58,9,38,38,6
"2022-08-01",72,7,37,40,6
"2022-09-01",79,8,41,40,5
"2022-10-01",68,6,36,40,6
"2022-11-01",60,6,31,40,5
"2022-12-01",58,5,28,36,5
"2023-01-01",91,6,34,53,8
"2023-02-01",85,7,34,48,9
"2023-03-01",72,8,41,49,7
"2023-04-01",62,8,47,47,7
"2023-05-01",59,10,47,43,6
"2023-06-01",60,9,39,47,6
"2023-07-01",62,12,35,44,6
"2023-08-01",57,11,52,48,6
"2023-09-01",70,10,55,52,6
"2023-10-01",66,7,41,47,6
"2023-11-01",67,5,32,50,6
"2023-12-01",58,5,28,44,6
"2024-01-01",88,7,36,56,7
"2024-02-01",81,9,42,56,6
"2024-03-01",77,10,52,49,6
"2024-04-01",73,11,57,49,7
"2024-05-01",68,13,53,45,6
"2024-06-01",59,10,40,44,5
"2024-07-01",66,13,39,42,5
"2024-08-01",70,15,53,44,6
"2024-09-01",74,10,55,53,5
"2024-10-01",68,9,48,50,4
"2024-11-01",67,6,40,47,5
"2024-12-01",68,7,37,47,5
"2025-01-01",85,8,41,57,7
"2025-02-01",87,8,46,55,6
"2025-03-01",74,9,56,49,6
"2025-04-01",88,13,65,50,5
"2025-05-01",63,13,57,45,5
"2025-06-01",71,13,50,47,5
"2025-07-01",68,15,44,43,5
"2025-08-01",74,13,50,46,4
"2025-09-01",79,11,58,49,4
"2025-10-01",68,10,50,44,4
"2025-11-01",80,10,49,50,5
"2025-12-01",85,11,49,45,5
"2026-01-01",96,10,46,53,6
"2026-02-01",100,21,64,67,6
"2026-03-01",74,16,70,47,7
