"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",10,7,100,8,2
"2021-01-01",13,4,32,7,2
"2021-02-01",8,4,42,8,2
"2021-03-01",8,5,65,8,2
"2021-04-01",9,4,38,7,2
"2021-05-01",11,3,26,8,1
"2021-06-01",12,4,51,8,2
"2021-07-01",10,6,29,8,2
"2021-08-01",10,8,55,9,1
"2021-09-01",11,7,71,9,2
"2021-10-01",11,5,56,8,2
"2021-11-01",12,6,54,9,2
"2021-12-01",11,5,61,7,2
"2022-01-01",14,3,28,7,2
"2022-02-01",12,4,39,7,2
"2022-03-01",12,4,62,7,2
"2022-04-01",10,2,31,5,2
"2022-05-01",13,3,28,6,2
"2022-06-01",15,3,33,7,2
"2022-07-01",14,3,24,6,2
"2022-08-01",15,4,34,7,2
"2022-09-01",15,4,43,7,2
"2022-10-01",15,4,37,7,2
"2022-11-01",15,4,43,7,2
"2022-12-01",15,3,44,5,2
"2023-01-01",17,2,24,6,2
"2023-02-01",17,3,29,7,2
"2023-03-01",14,3,36,6,2
"2023-04-01",11,2,22,5,1
"2023-05-01",15,3,33,7,2
"2023-06-01",15,2,35,6,2
"2023-07-01",15,2,21,6,2
"2023-08-01",15,3,28,6,2
"2023-09-01",13,2,30,7,2
"2023-10-01",13,2,30,6,2
"2023-11-01",13,2,35,6,2
"2023-12-01",14,2,39,5,2
"2024-01-01",14,2,21,6,2
"2024-02-01",14,2,23,6,2
"2024-03-01",12,2,29,6,2
"2024-04-01",13,2,20,5,1
"2024-05-01",16,2,30,6,2
"2024-06-01",17,2,32,6,2
"2024-07-01",18,2,26,6,2
"2024-08-01",17,2,29,7,2
"2024-09-01",16,2,33,6,2
"2024-10-01",17,2,33,7,2
"2024-11-01",17,2,33,7,2
"2024-12-01",17,2,45,7,2
"2025-01-01",20,2,24,7,2
"2025-02-01",17,2,25,7,2
"2025-03-01",13,2,25,6,2
"2025-04-01",18,2,29,6,2
"2025-05-01",18,2,37,7,2
"2025-06-01",18,2,38,7,2
"2025-07-01",18,2,31,7,2
"2025-08-01",16,2,35,7,2
"2025-09-01",16,2,34,6,2
"2025-10-01",17,2,35,7,2
"2025-11-01",18,2,35,7,2
"2025-12-01",20,2,36,7,2
"2026-01-01",23,2,27,7,2
"2026-02-01",23,6,31,13,2
"2026-03-01",16,2,24,6,2
