"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",58,16,41,17,3
"2021-01-01",34,17,67,27,5
"2021-02-01",27,23,67,27,5
"2021-03-01",26,22,60,21,4
"2021-04-01",35,26,56,22,4
"2021-05-01",44,24,45,20,4
"2021-06-01",84,25,38,20,3
"2021-07-01",73,28,40,18,4
"2021-08-01",77,26,40,20,3
"2021-09-01",82,22,29,22,4
"2021-10-01",79,16,35,21,3
"2021-11-01",66,12,35,18,3
"2021-12-01",60,12,32,16,3
"2022-01-01",91,16,49,28,4
"2022-02-01",78,15,41,22,4
"2022-03-01",68,18,41,21,4
"2022-04-01",66,19,39,18,4
"2022-05-01",68,17,24,20,4
"2022-06-01",77,22,40,20,3
"2022-07-01",66,22,37,21,3
"2022-08-01",70,22,41,22,3
"2022-09-01",75,17,39,22,3
"2022-10-01",71,14,39,21,4
"2022-11-01",74,13,39,21,4
"2022-12-01",68,12,29,20,3
"2023-01-01",92,17,37,25,4
"2023-02-01",81,17,42,23,4
"2023-03-01",75,16,40,22,4
"2023-04-01",70,17,41,23,4
"2023-05-01",68,20,44,22,4
"2023-06-01",63,21,41,24,3
"2023-07-01",71,20,38,23,3
"2023-08-01",67,21,44,24,3
"2023-09-01",70,15,41,26,3
"2023-10-01",62,12,39,21,3
"2023-11-01",68,11,43,22,3
"2023-12-01",61,10,32,19,2
"2024-01-01",85,13,44,29,4
"2024-02-01",74,14,45,27,4
"2024-03-01",67,14,45,23,3
"2024-04-01",70,17,53,25,4
"2024-05-01",61,19,49,21,3
"2024-06-01",62,19,47,21,3
"2024-07-01",65,20,41,22,3
"2024-08-01",67,22,53,22,3
"2024-09-01",73,17,48,24,3
"2024-10-01",68,12,49,22,3
"2024-11-01",64,10,46,22,3
"2024-12-01",65,10,39,20,3
"2025-01-01",92,12,52,27,4
"2025-02-01",78,13,52,24,4
"2025-03-01",70,14,60,22,4
"2025-04-01",73,17,61,22,3
"2025-05-01",67,19,54,21,3
"2025-06-01",71,17,52,22,3
"2025-07-01",75,22,45,21,3
"2025-08-01",78,17,47,21,3
"2025-09-01",76,15,48,21,3
"2025-10-01",68,12,45,19,3
"2025-11-01",72,11,48,20,3
"2025-12-01",73,11,43,19,3
"2026-01-01",100,12,54,22,4
"2026-02-01",81,15,50,24,3
"2026-03-01",80,15,56,20,4
