"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",38,4,14,50,3
"2021-01-01",44,4,13,49,3
"2021-02-01",41,4,13,48,3
"2021-03-01",43,4,13,52,3
"2021-04-01",38,4,11,48,3
"2021-05-01",31,4,12,55,3
"2021-06-01",40,5,14,88,3
"2021-07-01",43,5,15,47,3
"2021-08-01",41,4,16,44,3
"2021-09-01",42,3,10,44,3
"2021-10-01",38,3,13,40,2
"2021-11-01",37,3,13,40,2
"2021-12-01",37,3,13,42,2
"2022-01-01",36,3,13,42,2
"2022-02-01",38,3,14,48,3
"2022-03-01",39,3,16,46,3
"2022-04-01",40,3,14,43,2
"2022-05-01",40,3,11,43,2
"2022-06-01",47,4,14,82,3
"2022-07-01",44,3,15,47,3
"2022-08-01",45,3,13,39,3
"2022-09-01",48,3,15,40,2
"2022-10-01",38,3,16,35,2
"2022-11-01",40,3,18,38,3
"2022-12-01",37,3,19,37,3
"2023-01-01",40,3,20,41,3
"2023-02-01",45,3,13,40,3
"2023-03-01",43,3,12,42,3
"2023-04-01",41,3,10,37,2
"2023-05-01",40,3,26,35,2
"2023-06-01",46,3,11,75,2
"2023-07-01",47,3,10,42,2
"2023-08-01",46,3,10,39,2
"2023-09-01",40,2,10,35,2
"2023-10-01",39,2,11,33,2
"2023-11-01",36,2,10,32,2
"2023-12-01",38,2,11,35,2
"2024-01-01",39,2,11,36,2
"2024-02-01",45,2,11,38,2
"2024-03-01",43,2,10,35,2
"2024-04-01",46,2,10,34,2
"2024-05-01",46,2,10,34,2
"2024-06-01",43,2,10,57,2
"2024-07-01",48,2,10,34,2
"2024-08-01",47,2,11,34,2
"2024-09-01",46,2,12,35,2
"2024-10-01",43,2,12,32,2
"2024-11-01",44,2,12,35,2
"2024-12-01",41,2,11,35,2
"2025-01-01",46,2,12,37,2
"2025-02-01",46,3,11,37,2
"2025-03-01",46,2,11,63,2
"2025-04-01",47,2,11,32,2
"2025-05-01",47,2,11,33,2
"2025-06-01",52,3,12,59,2
"2025-07-01",52,2,11,33,2
"2025-08-01",49,2,12,32,2
"2025-09-01",41,2,11,94,2
"2025-10-01",41,2,12,100,2
"2025-11-01",47,3,15,32,2
"2025-12-01",47,3,17,34,2
"2026-01-01",51,4,18,34,2
"2026-02-01",54,6,21,38,3
"2026-03-01",51,3,15,30,2
