"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",45,7,40,45,11
"2021-01-01",48,8,39,44,11
"2021-02-01",48,10,45,45,11
"2021-03-01",52,10,46,52,12
"2021-04-01",53,12,48,48,13
"2021-05-01",62,10,44,55,12
"2021-06-01",67,11,49,51,13
"2021-07-01",67,11,49,48,13
"2021-08-01",69,10,51,50,13
"2021-09-01",75,12,51,47,16
"2021-10-01",62,10,69,43,15
"2021-11-01",54,11,69,46,11
"2021-12-01",52,11,55,45,9
"2022-01-01",49,13,60,39,13
"2022-02-01",54,11,63,44,12
"2022-03-01",53,11,56,43,9
"2022-04-01",65,12,56,36,13
"2022-05-01",60,12,56,42,11
"2022-06-01",68,12,56,42,16
"2022-07-01",71,11,60,43,20
"2022-08-01",87,19,69,60,20
"2022-09-01",93,23,80,75,19
"2022-10-01",87,24,72,71,18
"2022-11-01",69,19,57,62,13
"2022-12-01",72,26,66,69,13
"2023-01-01",75,22,57,63,13
"2023-02-01",73,18,62,63,12
"2023-03-01",65,11,62,50,12
"2023-04-01",67,12,62,47,11
"2023-05-01",86,11,71,46,16
"2023-06-01",92,9,71,45,17
"2023-07-01",92,9,71,50,19
"2023-08-01",87,8,65,40,22
"2023-09-01",75,8,63,42,19
"2023-10-01",69,9,58,46,14
"2023-11-01",61,9,53,39,14
"2023-12-01",63,11,52,43,14
"2024-01-01",59,10,49,43,10
"2024-02-01",65,8,56,44,13
"2024-03-01",67,8,51,44,13
"2024-04-01",64,7,49,47,13
"2024-05-01",80,7,52,41,20
"2024-06-01",82,5,44,45,18
"2024-07-01",87,7,52,45,17
"2024-08-01",93,7,54,44,20
"2024-09-01",81,4,48,47,18
"2024-10-01",84,6,48,46,16
"2024-11-01",80,5,49,43,11
"2024-12-01",69,6,46,44,12
"2025-01-01",80,6,44,42,13
"2025-02-01",76,6,46,39,13
"2025-03-01",65,7,44,38,10
"2025-04-01",79,6,44,41,13
"2025-05-01",80,6,56,39,12
"2025-06-01",95,14,61,43,11
"2025-07-01",91,9,52,40,12
"2025-08-01",82,5,41,35,13
"2025-09-01",73,6,37,34,10
"2025-10-01",76,9,44,35,11
"2025-11-01",94,14,62,41,14
"2025-12-01",80,17,54,36,11
"2026-01-01",78,11,45,35,11
"2026-02-01",100,29,84,71,11
"2026-03-01",76,9,45,32,11
