"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",8,13,28,31,25
"2021-01-01",9,12,23,30,23
"2021-02-01",8,14,25,27,21
"2021-03-01",9,14,29,28,16
"2021-04-01",10,17,32,30,20
"2021-05-01",12,19,40,33,19
"2021-06-01",16,20,37,39,23
"2021-07-01",15,17,43,33,22
"2021-08-01",12,16,57,32,17
"2021-09-01",13,13,48,30,16
"2021-10-01",13,13,57,30,22
"2021-11-01",14,13,67,32,22
"2021-12-01",13,11,77,32,21
"2022-01-01",14,10,73,34,20
"2022-02-01",11,11,70,32,17
"2022-03-01",13,12,46,30,12
"2022-04-01",15,13,40,33,14
"2022-05-01",15,13,35,34,16
"2022-06-01",20,19,37,40,19
"2022-07-01",18,15,58,42,16
"2022-08-01",17,14,81,38,13
"2022-09-01",16,13,49,34,11
"2022-10-01",17,10,51,35,13
"2022-11-01",16,9,48,35,15
"2022-12-01",15,9,53,33,14
"2023-01-01",14,9,55,32,14
"2023-02-01",15,9,42,29,14
"2023-03-01",13,10,34,27,9
"2023-04-01",18,14,20,35,12
"2023-05-01",20,17,35,37,14
"2023-06-01",27,16,22,41,16
"2023-07-01",24,15,21,42,15
"2023-08-01",24,14,23,41,16
"2023-09-01",17,14,22,38,14
"2023-10-01",17,12,19,37,13
"2023-11-01",15,11,18,36,14
"2023-12-01",14,10,17,35,14
"2024-01-01",13,9,16,34,14
"2024-02-01",12,8,18,31,11
"2024-03-01",11,10,17,27,8
"2024-04-01",14,11,18,36,13
"2024-05-01",14,12,18,36,13
"2024-06-01",16,14,16,35,12
"2024-07-01",16,15,19,41,15
"2024-08-01",16,15,19,41,15
"2024-09-01",16,11,18,37,11
"2024-10-01",16,9,19,39,12
"2024-11-01",15,9,21,39,12
"2024-12-01",12,7,17,34,11
"2025-01-01",14,7,16,37,12
"2025-02-01",14,7,17,34,11
"2025-03-01",11,8,17,27,8
"2025-04-01",19,12,19,41,12
"2025-05-01",17,13,18,40,13
"2025-06-01",14,12,18,37,12
"2025-07-01",17,13,19,46,15
"2025-08-01",17,13,19,46,13
"2025-09-01",18,10,18,36,11
"2025-10-01",33,10,16,39,11
"2025-11-01",68,8,18,35,11
"2025-12-01",55,7,15,32,10
"2026-01-01",55,5,13,31,11
"2026-02-01",58,7,14,34,9
"2026-03-01",100,14,20,36,10
