"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",37,17,32,18,4
"2021-01-01",52,17,36,21,5
"2021-02-01",60,19,35,19,5
"2021-03-01",38,27,44,19,5
"2021-04-01",47,28,43,18,4
"2021-05-01",64,33,34,17,4
"2021-06-01",56,26,31,18,4
"2021-07-01",50,22,30,17,3
"2021-08-01",56,18,40,18,3
"2021-09-01",80,17,35,21,4
"2021-10-01",68,14,30,18,3
"2021-11-01",65,10,28,17,3
"2021-12-01",55,8,26,15,3
"2022-01-01",65,9,32,19,4
"2022-02-01",66,12,32,18,4
"2022-03-01",70,14,36,19,4
"2022-04-01",64,14,40,18,4
"2022-05-01",64,19,40,18,4
"2022-06-01",62,16,37,19,4
"2022-07-01",53,20,36,17,3
"2022-08-01",66,17,37,19,3
"2022-09-01",88,18,40,21,4
"2022-10-01",87,16,38,19,3
"2022-11-01",77,13,34,19,3
"2022-12-01",67,12,31,16,3
"2023-01-01",90,13,35,22,4
"2023-02-01",74,14,33,20,4
"2023-03-01",75,27,42,21,4
"2023-04-01",71,32,41,20,4
"2023-05-01",64,37,42,20,4
"2023-06-01",63,32,37,21,4
"2023-07-01",57,32,34,19,4
"2023-08-01",66,42,35,21,3
"2023-09-01",96,26,41,25,4
"2023-10-01",79,20,38,23,4
"2023-11-01",71,15,32,20,4
"2023-12-01",59,14,31,19,4
"2024-01-01",86,16,32,23,4
"2024-02-01",81,17,31,22,5
"2024-03-01",87,25,34,22,4
"2024-04-01",72,27,41,21,4
"2024-05-01",66,37,43,22,4
"2024-06-01",58,24,38,20,4
"2024-07-01",56,32,35,18,4
"2024-08-01",69,34,43,20,4
"2024-09-01",94,20,44,23,4
"2024-10-01",83,18,38,23,5
"2024-11-01",74,14,36,20,5
"2024-12-01",66,13,34,18,4
"2025-01-01",88,15,37,22,5
"2025-02-01",78,16,34,20,5
"2025-03-01",81,26,43,21,5
"2025-04-01",70,29,45,20,4
"2025-05-01",64,35,46,20,4
"2025-06-01",65,30,43,22,4
"2025-07-01",64,31,44,20,4
"2025-08-01",74,26,49,21,4
"2025-09-01",100,25,48,23,5
"2025-10-01",84,23,46,19,4
"2025-11-01",81,15,48,20,4
"2025-12-01",76,15,43,17,4
"2026-01-01",95,16,45,20,5
"2026-02-01",91,20,51,25,5
"2026-03-01",87,30,55,18,5
