"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",19,5,22,19,6
"2021-01-01",25,3,17,21,7
"2021-02-01",51,4,18,20,7
"2021-03-01",25,4,17,22,8
"2021-04-01",18,5,19,17,8
"2021-05-01",27,6,19,20,6
"2021-06-01",73,6,18,20,8
"2021-07-01",69,6,19,20,8
"2021-08-01",66,6,20,22,6
"2021-09-01",62,6,18,21,8
"2021-10-01",53,7,23,22,6
"2021-11-01",46,5,25,21,6
"2021-12-01",41,4,20,19,6
"2022-01-01",41,4,20,19,7
"2022-02-01",49,3,19,20,7
"2022-03-01",45,4,19,17,6
"2022-04-01",43,4,20,17,5
"2022-05-01",53,8,17,19,7
"2022-06-01",63,7,19,20,8
"2022-07-01",71,5,17,21,7
"2022-08-01",64,7,16,20,9
"2022-09-01",64,8,21,19,8
"2022-10-01",57,8,20,17,7
"2022-11-01",47,7,16,16,5
"2022-12-01",49,5,18,15,7
"2023-01-01",56,5,17,16,7
"2023-02-01",50,5,16,18,7
"2023-03-01",55,5,19,15,7
"2023-04-01",54,6,20,15,7
"2023-05-01",71,8,25,17,9
"2023-06-01",75,4,18,18,7
"2023-07-01",99,4,21,18,9
"2023-08-01",76,4,19,18,7
"2023-09-01",72,7,21,18,8
"2023-10-01",55,5,16,17,6
"2023-11-01",55,3,16,15,7
"2023-12-01",54,3,17,16,7
"2024-01-01",55,2,18,17,8
"2024-02-01",57,3,19,17,7
"2024-03-01",51,3,18,16,7
"2024-04-01",65,4,20,18,7
"2024-05-01",71,5,19,18,10
"2024-06-01",86,3,16,16,7
"2024-07-01",96,4,18,18,10
"2024-08-01",82,4,17,19,8
"2024-09-01",74,3,20,20,7
"2024-10-01",64,4,21,20,8
"2024-11-01",62,3,20,19,8
"2024-12-01",69,2,15,17,6
"2025-01-01",72,3,15,18,7
"2025-02-01",72,2,15,17,6
"2025-03-01",57,3,18,14,5
"2025-04-01",86,3,17,18,6
"2025-05-01",82,4,19,18,7
"2025-06-01",90,6,21,18,5
"2025-07-01",100,3,16,17,5
"2025-08-01",86,4,16,16,5
"2025-09-01",84,6,15,15,6
"2025-10-01",77,3,17,16,5
"2025-11-01",85,7,27,17,6
"2025-12-01",78,7,22,17,6
"2026-01-01",78,6,20,19,6
"2026-02-01",93,21,47,38,6
"2026-03-01",78,7,21,16,6
