"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",29,6,36,29,5
"2021-01-01",31,6,39,34,5
"2021-02-01",31,8,44,34,6
"2021-03-01",37,9,44,34,5
"2021-04-01",46,12,52,35,5
"2021-05-01",57,16,55,35,7
"2021-06-01",60,12,51,37,6
"2021-07-01",65,15,47,32,6
"2021-08-01",63,13,49,32,5
"2021-09-01",50,13,52,33,6
"2021-10-01",56,13,49,32,5
"2021-11-01",55,11,50,29,5
"2021-12-01",47,8,48,26,4
"2022-01-01",59,9,57,32,7
"2022-02-01",67,10,48,31,7
"2022-03-01",69,13,41,30,6
"2022-04-01",65,16,44,32,7
"2022-05-01",69,16,48,35,7
"2022-06-01",75,13,43,35,8
"2022-07-01",78,13,38,30,7
"2022-08-01",75,14,42,30,7
"2022-09-01",74,14,42,31,7
"2022-10-01",74,17,55,32,6
"2022-11-01",69,13,57,28,6
"2022-12-01",64,10,50,24,4
"2023-01-01",77,10,61,28,6
"2023-02-01",74,10,56,29,6
"2023-03-01",90,10,53,30,7
"2023-04-01",93,12,56,30,7
"2023-05-01",89,10,61,32,7
"2023-06-01",89,9,48,31,8
"2023-07-01",94,9,50,29,8
"2023-08-01",87,9,53,29,7
"2023-09-01",78,10,57,31,7
"2023-10-01",73,10,57,29,6
"2023-11-01",72,9,56,29,5
"2023-12-01",69,6,49,24,5
"2024-01-01",86,6,54,27,6
"2024-02-01",82,7,52,30,6
"2024-03-01",86,9,47,26,6
"2024-04-01",88,12,50,27,6
"2024-05-01",87,11,52,28,7
"2024-06-01",85,9,49,29,7
"2024-07-01",82,8,46,25,7
"2024-08-01",82,8,44,26,6
"2024-09-01",80,9,55,28,6
"2024-10-01",77,10,55,27,6
"2024-11-01",78,8,56,25,5
"2024-12-01",73,5,50,21,4
"2025-01-01",85,6,57,25,5
"2025-02-01",82,6,49,25,5
"2025-03-01",87,8,49,24,5
"2025-04-01",90,10,53,25,6
"2025-05-01",89,9,53,26,6
"2025-06-01",86,8,47,25,6
"2025-07-01",91,8,48,24,6
"2025-08-01",95,8,49,23,6
"2025-09-01",89,8,60,24,6
"2025-10-01",84,8,58,25,5
"2025-11-01",91,9,66,24,5
"2025-12-01",86,8,60,23,4
"2026-01-01",100,8,73,26,5
"2026-02-01",96,10,64,25,5
"2026-03-01",94,12,65,26,5
