"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",75,8,32,47,9
"2021-01-01",84,9,38,41,9
"2021-02-01",79,8,38,37,11
"2021-03-01",74,10,41,38,10
"2021-04-01",74,10,37,50,11
"2021-05-01",76,9,34,42,9
"2021-06-01",87,11,38,40,10
"2021-07-01",85,11,39,46,8
"2021-08-01",87,10,50,39,8
"2021-09-01",81,8,31,39,8
"2021-10-01",76,8,37,38,9
"2021-11-01",79,10,37,41,8
"2021-12-01",68,8,31,40,5
"2022-01-01",89,10,38,39,10
"2022-02-01",86,10,41,34,11
"2022-03-01",84,11,41,36,11
"2022-04-01",76,10,36,37,9
"2022-05-01",83,10,39,33,9
"2022-06-01",94,11,45,35,10
"2022-07-01",91,12,46,36,10
"2022-08-01",86,9,35,31,8
"2022-09-01",91,10,40,30,9
"2022-10-01",78,9,43,25,13
"2022-11-01",72,9,35,26,11
"2022-12-01",79,9,29,31,7
"2023-01-01",90,9,34,32,10
"2023-02-01",85,10,39,28,10
"2023-03-01",82,9,36,27,10
"2023-04-01",81,9,32,28,8
"2023-05-01",86,9,40,29,8
"2023-06-01",93,12,38,32,10
"2023-07-01",92,13,36,30,9
"2023-08-01",88,8,36,31,8
"2023-09-01",86,8,33,26,8
"2023-10-01",84,8,34,27,8
"2023-11-01",86,7,26,25,8
"2023-12-01",76,7,24,25,8
"2024-01-01",97,9,30,30,8
"2024-02-01",84,8,32,25,6
"2024-03-01",85,9,31,27,7
"2024-04-01",79,8,27,27,7
"2024-05-01",83,8,28,27,8
"2024-06-01",85,9,31,29,8
"2024-07-01",91,12,31,26,6
"2024-08-01",87,11,35,30,7
"2024-09-01",93,11,32,26,7
"2024-10-01",81,14,29,24,7
"2024-11-01",87,6,28,29,8
"2024-12-01",82,6,25,28,7
"2025-01-01",93,9,27,26,8
"2025-02-01",89,9,31,26,8
"2025-03-01",86,9,35,26,8
"2025-04-01",91,9,32,26,8
"2025-05-01",91,9,34,28,8
"2025-06-01",95,12,52,31,10
"2025-07-01",93,11,42,24,8
"2025-08-01",89,8,32,26,7
"2025-09-01",87,9,32,22,6
"2025-10-01",89,9,34,25,5
"2025-11-01",93,12,37,27,7
"2025-12-01",90,10,31,24,5
"2026-01-01",99,9,32,25,6
"2026-02-01",100,12,44,29,7
"2026-03-01",94,10,40,24,6
