"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",10,2,24,14,3
"2021-01-01",11,2,23,16,3
"2021-02-01",15,2,29,18,4
"2021-03-01",18,3,21,20,4
"2021-04-01",17,5,23,21,4
"2021-05-01",17,5,21,20,4
"2021-06-01",19,4,22,19,5
"2021-07-01",20,5,21,19,4
"2021-08-01",18,5,23,19,4
"2021-09-01",17,4,24,16,4
"2021-10-01",15,3,27,13,3
"2021-11-01",15,3,18,12,4
"2021-12-01",14,3,16,13,3
"2022-01-01",17,3,16,16,4
"2022-02-01",17,4,16,16,4
"2022-03-01",17,3,17,16,5
"2022-04-01",17,3,20,16,5
"2022-05-01",18,3,23,15,6
"2022-06-01",18,4,30,16,5
"2022-07-01",21,4,30,17,6
"2022-08-01",20,3,29,17,5
"2022-09-01",19,3,34,15,5
"2022-10-01",17,3,32,14,5
"2022-11-01",19,3,20,13,5
"2022-12-01",19,2,17,14,4
"2023-01-01",19,2,18,14,5
"2023-02-01",18,3,19,14,6
"2023-03-01",20,3,27,14,6
"2023-04-01",22,3,33,15,5
"2023-05-01",36,6,35,19,5
"2023-06-01",35,8,30,22,5
"2023-07-01",35,9,32,26,6
"2023-08-01",35,7,33,21,6
"2023-09-01",34,8,36,21,5
"2023-10-01",37,8,39,21,5
"2023-11-01",35,7,35,20,5
"2023-12-01",35,7,32,20,4
"2024-01-01",37,8,34,23,6
"2024-02-01",35,8,39,23,5
"2024-03-01",36,8,43,22,6
"2024-04-01",31,8,46,23,6
"2024-05-01",34,8,48,22,6
"2024-06-01",35,7,47,23,6
"2024-07-01",37,8,47,24,7
"2024-08-01",37,8,53,21,6
"2024-09-01",32,6,55,20,5
"2024-10-01",31,6,56,16,5
"2024-11-01",27,5,49,15,5
"2024-12-01",18,2,39,12,5
"2025-01-01",19,2,42,14,6
"2025-02-01",30,5,43,17,6
"2025-03-01",26,4,49,15,6
"2025-04-01",38,8,57,21,6
"2025-05-01",40,8,58,20,6
"2025-06-01",37,7,62,19,6
"2025-07-01",22,3,59,12,6
"2025-08-01",21,2,68,12,7
"2025-09-01",20,2,75,12,5
"2025-10-01",19,2,71,12,5
"2025-11-01",39,8,79,16,7
"2025-12-01",49,10,64,19,7
"2026-01-01",51,9,60,20,7
"2026-02-01",70,28,100,52,8
"2026-03-01",45,13,83,17,9
