"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",45,8,30,20,9
"2021-01-01",49,8,29,22,9
"2021-02-01",37,9,29,19,8
"2021-03-01",42,8,31,18,9
"2021-04-01",32,8,28,17,9
"2021-05-01",57,8,30,17,9
"2021-06-01",65,7,30,26,13
"2021-07-01",56,9,28,20,12
"2021-08-01",68,8,36,19,11
"2021-09-01",60,7,32,20,10
"2021-10-01",53,10,36,15,8
"2021-11-01",46,8,39,18,8
"2021-12-01",43,8,30,17,6
"2022-01-01",45,7,29,18,9
"2022-02-01",51,8,31,41,10
"2022-03-01",59,6,34,19,9
"2022-04-01",54,6,31,15,9
"2022-05-01",68,9,31,17,10
"2022-06-01",76,6,44,21,10
"2022-07-01",78,6,39,18,12
"2022-08-01",75,7,35,19,13
"2022-09-01",64,8,34,19,10
"2022-10-01",62,8,45,18,8
"2022-11-01",51,7,49,18,8
"2022-12-01",49,7,46,14,8
"2023-01-01",54,6,38,17,9
"2023-02-01",57,7,44,15,8
"2023-03-01",61,6,48,15,9
"2023-04-01",59,6,40,15,8
"2023-05-01",79,6,44,18,10
"2023-06-01",82,5,37,18,13
"2023-07-01",94,5,41,16,16
"2023-08-01",88,5,44,17,14
"2023-09-01",83,6,41,16,11
"2023-10-01",61,5,34,16,9
"2023-11-01",57,4,38,12,8
"2023-12-01",60,5,29,14,9
"2024-01-01",63,3,32,18,11
"2024-02-01",63,4,34,15,9
"2024-03-01",58,3,31,13,9
"2024-04-01",72,5,33,15,9
"2024-05-01",74,5,28,14,11
"2024-06-01",82,3,28,16,13
"2024-07-01",88,5,32,16,15
"2024-08-01",96,5,34,18,13
"2024-09-01",78,6,34,16,10
"2024-10-01",72,6,33,13,9
"2024-11-01",71,4,34,14,9
"2024-12-01",55,2,31,14,7
"2025-01-01",69,4,33,15,8
"2025-02-01",65,4,29,15,8
"2025-03-01",64,4,29,13,7
"2025-04-01",77,5,28,15,8
"2025-05-01",79,4,23,19,9
"2025-06-01",99,4,35,16,9
"2025-07-01",100,4,27,16,9
"2025-08-01",89,5,30,16,9
"2025-09-01",78,6,27,13,8
"2025-10-01",71,4,32,12,8
"2025-11-01",78,8,47,15,9
"2025-12-01",77,8,40,14,7
"2026-01-01",76,7,37,16,7
"2026-02-01",79,12,46,25,7
"2026-03-01",79,8,34,13,8
