"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",53,7,68,67,20
"2021-01-01",72,4,72,81,11
"2021-02-01",58,8,76,76,7
"2021-03-01",52,16,69,78,8
"2021-04-01",48,25,97,86,9
"2021-05-01",49,23,100,71,7
"2021-06-01",54,13,82,84,8
"2021-07-01",48,11,63,71,8
"2021-08-01",49,11,72,73,8
"2021-09-01",53,23,83,63,6
"2021-10-01",57,23,70,67,6
"2021-11-01",55,10,63,65,18
"2021-12-01",66,16,55,64,11
"2022-01-01",65,15,76,78,8
"2022-02-01",69,18,77,64,7
"2022-03-01",48,10,67,63,6
"2022-04-01",51,28,97,58,6
"2022-05-01",50,17,82,65,8
"2022-06-01",58,11,84,82,7
"2022-07-01",53,10,72,69,8
"2022-08-01",55,12,57,75,7
"2022-09-01",56,27,69,56,6
"2022-10-01",70,53,64,66,8
"2022-11-01",65,18,61,64,23
"2022-12-01",72,21,49,56,21
"2023-01-01",85,29,61,69,10
"2023-02-01",69,17,54,61,10
"2023-03-01",57,21,70,67,10
"2023-04-01",57,40,91,63,8
"2023-05-01",52,28,87,61,10
"2023-06-01",54,10,68,74,9
"2023-07-01",54,10,69,72,9
"2023-08-01",60,9,67,71,9
"2023-09-01",54,14,74,56,9
"2023-10-01",54,14,63,53,8
"2023-11-01",57,7,55,55,30
"2023-12-01",47,5,46,46,17
"2024-01-01",63,6,53,59,9
"2024-02-01",69,7,50,59,7
"2024-03-01",56,6,55,55,10
"2024-04-01",54,10,74,52,10
"2024-05-01",55,6,67,52,9
"2024-06-01",55,7,61,61,9
"2024-07-01",58,7,58,59,9
"2024-08-01",58,8,66,66,8
"2024-09-01",59,10,58,56,8
"2024-10-01",64,6,52,57,8
"2024-11-01",60,4,41,56,14
"2024-12-01",59,4,38,54,11
"2025-01-01",68,6,45,63,9
"2025-02-01",64,4,42,54,7
"2025-03-01",57,7,43,57,8
"2025-04-01",57,11,63,55,9
"2025-05-01",78,14,66,53,8
"2025-06-01",72,16,67,62,8
"2025-07-01",66,9,55,50,7
"2025-08-01",57,8,56,54,8
"2025-09-01",56,8,62,46,5
"2025-10-01",58,7,46,46,6
"2025-11-01",77,15,69,60,12
"2025-12-01",77,12,58,53,10
"2026-01-01",78,11,63,55,9
"2026-02-01",98,26,84,76,12
"2026-03-01",71,16,77,53,10
