"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",49,4,22,23,6
"2021-01-01",31,5,21,27,8
"2021-02-01",32,6,23,25,10
"2021-03-01",50,6,20,25,9
"2021-04-01",61,8,21,26,10
"2021-05-01",64,8,23,26,10
"2021-06-01",72,7,24,29,9
"2021-07-01",77,7,22,29,6
"2021-08-01",78,6,22,27,8
"2021-09-01",73,7,22,26,6
"2021-10-01",75,6,25,28,7
"2021-11-01",68,6,25,28,7
"2021-12-01",54,5,24,22,5
"2022-01-01",63,5,22,25,7
"2022-02-01",68,6,23,24,8
"2022-03-01",71,5,25,24,8
"2022-04-01",74,6,22,22,8
"2022-05-01",73,6,20,25,9
"2022-06-01",88,8,24,27,9
"2022-07-01",81,7,25,23,7
"2022-08-01",83,7,20,29,9
"2022-09-01",83,5,22,26,8
"2022-10-01",78,6,22,26,10
"2022-11-01",61,6,20,22,8
"2022-12-01",60,5,18,21,6
"2023-01-01",81,6,21,24,8
"2023-02-01",74,6,20,21,6
"2023-03-01",72,5,24,22,9
"2023-04-01",79,6,27,22,10
"2023-05-01",92,7,29,24,13
"2023-06-01",95,6,23,24,12
"2023-07-01",100,5,25,25,10
"2023-08-01",93,6,22,25,9
"2023-09-01",92,6,25,26,8
"2023-10-01",80,4,25,21,8
"2023-11-01",74,3,25,23,9
"2023-12-01",66,4,20,22,7
"2024-01-01",82,4,18,23,8
"2024-02-01",82,4,22,25,8
"2024-03-01",78,4,21,25,11
"2024-04-01",84,5,23,25,9
"2024-05-01",84,4,24,27,8
"2024-06-01",80,4,20,26,10
"2024-07-01",84,5,22,25,7
"2024-08-01",81,5,25,25,7
"2024-09-01",73,3,18,24,8
"2024-10-01",84,2,16,23,6
"2024-11-01",73,4,20,22,7
"2024-12-01",74,3,18,25,6
"2025-01-01",82,4,19,27,10
"2025-02-01",74,4,19,22,6
"2025-03-01",73,4,20,21,7
"2025-04-01",84,5,23,24,8
"2025-05-01",79,4,18,27,8
"2025-06-01",82,5,21,24,6
"2025-07-01",87,4,18,23,6
"2025-08-01",76,4,17,23,6
"2025-09-01",76,4,17,24,5
"2025-10-01",77,4,18,20,7
"2025-11-01",77,8,30,25,6
"2025-12-01",72,6,28,22,7
"2026-01-01",82,7,24,21,7
"2026-02-01",83,12,35,29,6
"2026-03-01",89,7,22,22,5
