"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",63,5,18,41,4
"2021-01-01",85,7,16,44,5
"2021-02-01",76,7,21,41,4
"2021-03-01",72,7,17,45,5
"2021-04-01",73,6,18,46,6
"2021-05-01",62,7,17,46,5
"2021-06-01",56,8,21,49,6
"2021-07-01",66,8,24,41,4
"2021-08-01",60,7,22,36,5
"2021-09-01",53,7,17,43,5
"2021-10-01",62,6,18,36,4
"2021-11-01",68,6,18,38,4
"2021-12-01",62,6,17,38,3
"2022-01-01",72,6,19,45,6
"2022-02-01",66,7,19,42,5
"2022-03-01",65,5,17,37,4
"2022-04-01",55,4,15,33,4
"2022-05-01",59,6,13,34,4
"2022-06-01",65,9,16,35,4
"2022-07-01",59,15,18,32,4
"2022-08-01",69,9,20,32,4
"2022-09-01",67,6,16,29,5
"2022-10-01",71,6,17,30,5
"2022-11-01",68,5,16,31,4
"2022-12-01",67,5,14,32,5
"2023-01-01",73,5,17,35,6
"2023-02-01",78,6,20,38,5
"2023-03-01",69,6,18,35,4
"2023-04-01",67,5,16,35,5
"2023-05-01",71,5,18,33,4
"2023-06-01",73,7,15,35,4
"2023-07-01",73,5,16,34,5
"2023-08-01",74,6,16,36,5
"2023-09-01",67,5,13,32,4
"2023-10-01",65,4,14,30,4
"2023-11-01",69,4,13,33,5
"2023-12-01",71,4,13,36,5
"2024-01-01",77,5,16,38,6
"2024-02-01",83,6,17,42,5
"2024-03-01",74,5,17,39,5
"2024-04-01",74,5,15,36,4
"2024-05-01",80,4,14,33,5
"2024-06-01",82,4,14,33,4
"2024-07-01",87,5,15,35,5
"2024-08-01",81,5,18,34,5
"2024-09-01",82,3,15,33,4
"2024-10-01",82,4,13,35,5
"2024-11-01",80,4,14,38,4
"2024-12-01",82,4,13,36,4
"2025-01-01",89,5,15,42,5
"2025-02-01",84,5,18,42,5
"2025-03-01",81,4,16,40,5
"2025-04-01",86,5,15,34,4
"2025-05-01",86,4,13,34,4
"2025-06-01",85,5,16,32,5
"2025-07-01",88,5,15,34,4
"2025-08-01",88,5,13,35,3
"2025-09-01",83,4,11,30,3
"2025-10-01",81,3,12,30,3
"2025-11-01",90,5,17,34,5
"2025-12-01",94,5,15,34,4
"2026-01-01",100,5,17,41,5
"2026-02-01",99,13,34,50,5
"2026-03-01",89,6,20,37,4
