"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",28,8,100,47,6
"2021-01-01",29,10,89,45,6
"2021-02-01",35,12,76,46,7
"2021-03-01",45,14,59,49,9
"2021-04-01",38,18,55,43,9
"2021-05-01",51,16,39,53,8
"2021-06-01",57,13,28,53,10
"2021-07-01",52,16,28,51,7
"2021-08-01",41,14,30,54,9
"2021-09-01",38,15,28,55,7
"2021-10-01",58,13,69,47,5
"2021-11-01",44,14,84,52,5
"2021-12-01",37,11,57,45,5
"2022-01-01",37,12,73,37,5
"2022-02-01",47,14,53,37,6
"2022-03-01",45,12,44,33,6
"2022-04-01",39,12,36,25,6
"2022-05-01",53,14,40,40,8
"2022-06-01",52,16,35,37,8
"2022-07-01",35,18,26,40,9
"2022-08-01",38,15,28,37,9
"2022-09-01",40,15,52,34,10
"2022-10-01",42,15,90,35,11
"2022-11-01",34,14,66,29,9
"2022-12-01",31,11,54,26,6
"2023-01-01",39,14,58,30,8
"2023-02-01",36,13,45,28,10
"2023-03-01",42,12,44,28,10
"2023-04-01",42,10,39,28,9
"2023-05-01",50,13,43,30,12
"2023-06-01",49,12,32,33,9
"2023-07-01",57,16,27,33,8
"2023-08-01",59,14,29,31,8
"2023-09-01",51,11,43,29,7
"2023-10-01",50,9,61,29,9
"2023-11-01",55,9,41,31,8
"2023-12-01",48,9,37,31,8
"2024-01-01",46,9,48,28,6
"2024-02-01",47,10,54,30,8
"2024-03-01",47,9,35,27,8
"2024-04-01",47,8,37,34,7
"2024-05-01",55,13,37,32,9
"2024-06-01",49,13,31,33,7
"2024-07-01",57,13,30,31,7
"2024-08-01",59,13,39,32,8
"2024-09-01",58,8,43,32,8
"2024-10-01",54,7,71,30,7
"2024-11-01",50,8,64,34,7
"2024-12-01",54,7,57,33,7
"2025-01-01",51,8,42,30,6
"2025-02-01",54,9,40,33,7
"2025-03-01",49,9,31,29,7
"2025-04-01",67,9,39,36,7
"2025-05-01",59,8,36,32,7
"2025-06-01",54,10,32,31,6
"2025-07-01",58,12,30,30,6
"2025-08-01",61,10,37,31,6
"2025-09-01",59,12,41,31,6
"2025-10-01",55,12,57,29,7
"2025-11-01",62,14,62,32,7
"2025-12-01",59,11,52,26,6
"2026-01-01",60,11,44,29,5
"2026-02-01",88,34,85,65,8
"2026-03-01",66,15,53,33,7
