"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",40,7,21,15,7
"2021-01-01",50,6,22,17,9
"2021-02-01",52,8,25,17,9
"2021-03-01",56,8,25,17,10
"2021-04-01",59,8,23,17,9
"2021-05-01",61,8,21,17,8
"2021-06-01",65,9,22,17,8
"2021-07-01",68,12,20,16,7
"2021-08-01",65,8,21,16,8
"2021-09-01",57,7,24,15,8
"2021-10-01",56,7,24,15,8
"2021-11-01",56,7,23,14,7
"2021-12-01",54,6,20,15,6
"2022-01-01",68,7,23,16,7
"2022-02-01",72,8,24,15,9
"2022-03-01",69,9,26,16,9
"2022-04-01",69,8,24,15,8
"2022-05-01",73,7,22,15,7
"2022-06-01",77,7,22,16,7
"2022-07-01",81,7,22,16,6
"2022-08-01",82,6,22,16,6
"2022-09-01",72,7,23,14,6
"2022-10-01",70,7,24,14,6
"2022-11-01",64,7,21,14,6
"2022-12-01",63,5,19,13,5
"2023-01-01",89,6,22,16,6
"2023-02-01",80,6,21,16,6
"2023-03-01",76,7,24,16,7
"2023-04-01",76,7,22,16,7
"2023-05-01",74,7,23,16,6
"2023-06-01",80,8,23,16,6
"2023-07-01",87,7,21,16,6
"2023-08-01",85,7,23,16,6
"2023-09-01",75,7,25,14,6
"2023-10-01",69,7,25,14,5
"2023-11-01",67,6,24,13,5
"2023-12-01",65,5,20,13,4
"2024-01-01",88,7,22,16,6
"2024-02-01",81,7,23,16,5
"2024-03-01",79,7,23,16,6
"2024-04-01",84,7,25,16,6
"2024-05-01",83,6,24,15,6
"2024-06-01",82,6,22,15,5
"2024-07-01",88,8,23,15,5
"2024-08-01",83,10,25,15,5
"2024-09-01",70,5,25,13,5
"2024-10-01",73,5,24,14,5
"2024-11-01",67,6,24,15,5
"2024-12-01",66,6,21,14,4
"2025-01-01",83,7,25,16,5
"2025-02-01",83,7,24,16,5
"2025-03-01",80,7,26,16,5
"2025-04-01",85,7,27,15,5
"2025-05-01",83,11,29,16,5
"2025-06-01",83,10,30,16,5
"2025-07-01",91,8,28,14,6
"2025-08-01",89,8,28,14,5
"2025-09-01",75,9,30,13,5
"2025-10-01",74,9,29,13,6
"2025-11-01",76,8,31,13,5
"2025-12-01",79,7,29,14,4
"2026-01-01",100,7,31,16,6
"2026-02-01",100,11,34,18,6
"2026-03-01",89,11,32,15,6
