"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",44,21,45,29,7
"2021-01-01",34,17,36,29,7
"2021-02-01",34,19,43,25,7
"2021-03-01",45,18,35,28,7
"2021-04-01",43,15,33,30,6
"2021-05-01",33,16,33,28,6
"2021-06-01",26,16,48,31,8
"2021-07-01",27,21,46,27,8
"2021-08-01",27,42,48,26,8
"2021-09-01",42,20,43,25,7
"2021-10-01",46,18,49,24,7
"2021-11-01",47,15,45,27,6
"2021-12-01",43,12,33,25,5
"2022-01-01",44,14,31,25,7
"2022-02-01",48,14,39,24,8
"2022-03-01",45,13,40,22,7
"2022-04-01",43,13,40,22,6
"2022-05-01",51,12,39,23,6
"2022-06-01",54,13,51,28,7
"2022-07-01",53,13,49,26,7
"2022-08-01",59,13,51,26,7
"2022-09-01",55,13,51,23,7
"2022-10-01",59,14,60,24,7
"2022-11-01",55,10,52,23,6
"2022-12-01",59,9,44,21,6
"2023-01-01",63,11,50,21,7
"2023-02-01",64,10,49,23,7
"2023-03-01",54,10,46,23,6
"2023-04-01",54,10,43,24,5
"2023-05-01",58,12,59,25,7
"2023-06-01",65,15,55,27,6
"2023-07-01",63,15,65,26,7
"2023-08-01",65,14,63,26,7
"2023-09-01",68,15,65,26,7
"2023-10-01",58,12,70,25,7
"2023-11-01",59,11,58,26,6
"2023-12-01",57,10,52,22,6
"2024-01-01",61,10,53,23,6
"2024-02-01",64,10,48,24,6
"2024-03-01",59,10,47,25,6
"2024-04-01",65,10,53,26,6
"2024-05-01",68,12,61,26,7
"2024-06-01",67,11,56,27,6
"2024-07-01",69,14,61,26,7
"2024-08-01",67,100,67,28,6
"2024-09-01",67,11,61,27,6
"2024-10-01",66,12,70,23,7
"2024-11-01",64,10,61,24,6
"2024-12-01",66,8,48,23,5
"2025-01-01",70,8,45,24,6
"2025-02-01",64,10,48,25,6
"2025-03-01",61,9,38,23,6
"2025-04-01",72,10,58,26,6
"2025-05-01",72,10,65,25,5
"2025-06-01",75,11,63,26,6
"2025-07-01",73,12,74,24,6
"2025-08-01",70,9,69,24,6
"2025-09-01",66,10,70,23,5
"2025-10-01",65,10,67,21,5
"2025-11-01",76,10,70,24,6
"2025-12-01",82,11,61,24,5
"2026-01-01",86,11,67,24,6
"2026-02-01",89,23,86,45,7
"2026-03-01",79,12,53,25,6
