"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",48,4,29,34,8
"2021-01-01",50,5,28,34,8
"2021-02-01",46,5,33,31,10
"2021-03-01",48,5,35,32,10
"2021-04-01",49,5,29,30,9
"2021-05-01",49,5,29,32,9
"2021-06-01",52,5,30,32,7
"2021-07-01",57,5,30,32,9
"2021-08-01",57,5,30,30,8
"2021-09-01",50,5,19,30,9
"2021-10-01",48,5,29,29,10
"2021-11-01",49,4,30,30,11
"2021-12-01",46,3,26,30,6
"2022-01-01",60,5,34,28,11
"2022-02-01",64,5,38,28,12
"2022-03-01",64,5,36,28,14
"2022-04-01",60,4,30,26,9
"2022-05-01",62,6,24,28,11
"2022-06-01",65,6,35,29,11
"2022-07-01",70,6,34,29,11
"2022-08-01",66,6,30,29,11
"2022-09-01",72,5,30,25,11
"2022-10-01",66,6,33,24,13
"2022-11-01",63,5,31,22,12
"2022-12-01",63,4,28,24,10
"2023-01-01",73,6,30,56,10
"2023-02-01",68,5,28,100,12
"2023-03-01",69,5,27,55,10
"2023-04-01",69,5,21,38,10
"2023-05-01",67,5,38,29,10
"2023-06-01",70,6,26,28,11
"2023-07-01",77,5,23,29,11
"2023-08-01",73,5,17,28,9
"2023-09-01",72,5,19,24,9
"2023-10-01",73,5,22,22,11
"2023-11-01",73,5,25,23,11
"2023-12-01",66,4,18,23,7
"2024-01-01",68,4,23,21,11
"2024-02-01",66,5,23,21,9
"2024-03-01",65,4,22,21,9
"2024-04-01",68,4,18,22,8
"2024-05-01",67,4,21,23,9
"2024-06-01",71,5,18,23,8
"2024-07-01",75,4,18,23,9
"2024-08-01",71,5,18,22,9
"2024-09-01",70,4,19,22,9
"2024-10-01",66,4,20,20,10
"2024-11-01",73,4,20,22,9
"2024-12-01",75,3,16,21,8
"2025-01-01",79,4,20,21,9
"2025-02-01",85,4,22,22,10
"2025-03-01",86,4,21,22,10
"2025-04-01",86,5,16,21,8
"2025-05-01",92,4,18,22,9
"2025-06-01",84,5,19,23,12
"2025-07-01",86,5,17,21,9
"2025-08-01",82,4,17,18,8
"2025-09-01",98,5,18,18,9
"2025-10-01",93,5,20,18,9
"2025-11-01",86,6,27,22,9
"2025-12-01",83,6,22,22,6
"2026-01-01",95,7,24,23,8
"2026-02-01",86,11,32,25,9
"2026-03-01",87,7,25,19,8
