"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",26,6,42,33,4
"2021-01-01",19,7,53,39,5
"2021-02-01",18,8,43,31,4
"2021-03-01",21,9,42,29,4
"2021-04-01",20,9,39,27,4
"2021-05-01",33,10,40,30,4
"2021-06-01",34,10,36,32,4
"2021-07-01",32,11,34,32,4
"2021-08-01",37,11,46,36,4
"2021-09-01",40,9,32,35,4
"2021-10-01",36,7,39,35,3
"2021-11-01",34,6,35,33,3
"2021-12-01",22,6,35,28,3
"2022-01-01",32,8,47,37,5
"2022-02-01",33,8,38,37,5
"2022-03-01",31,10,41,34,5
"2022-04-01",28,11,40,30,5
"2022-05-01",27,11,39,33,5
"2022-06-01",29,11,40,34,5
"2022-07-01",29,14,38,36,4
"2022-08-01",34,14,40,37,5
"2022-09-01",39,11,44,38,5
"2022-10-01",39,9,45,39,5
"2022-11-01",45,8,41,37,4
"2022-12-01",40,7,34,32,4
"2023-01-01",53,10,45,44,6
"2023-02-01",48,11,45,42,6
"2023-03-01",53,12,51,42,6
"2023-04-01",47,13,59,39,6
"2023-05-01",44,14,59,39,5
"2023-06-01",39,14,49,37,5
"2023-07-01",40,17,46,41,4
"2023-08-01",43,16,54,41,5
"2023-09-01",44,13,60,42,4
"2023-10-01",42,10,57,41,4
"2023-11-01",43,8,47,39,4
"2023-12-01",41,7,44,36,3
"2024-01-01",55,10,56,44,5
"2024-02-01",49,11,62,45,5
"2024-03-01",50,12,70,42,5
"2024-04-01",48,16,74,38,5
"2024-05-01",43,14,72,37,5
"2024-06-01",41,13,61,34,4
"2024-07-01",37,14,55,34,4
"2024-08-01",42,17,79,39,4
"2024-09-01",51,13,80,39,5
"2024-10-01",48,10,71,40,5
"2024-11-01",48,8,72,36,4
"2024-12-01",48,8,62,35,4
"2025-01-01",56,10,73,42,5
"2025-02-01",52,11,72,38,5
"2025-03-01",48,13,85,36,4
"2025-04-01",47,15,89,33,4
"2025-05-01",47,14,74,33,3
"2025-06-01",46,13,70,33,4
"2025-07-01",46,16,60,34,4
"2025-08-01",49,13,62,36,4
"2025-09-01",54,12,80,37,3
"2025-10-01",51,10,72,37,4
"2025-11-01",63,11,80,37,4
"2025-12-01",64,11,75,35,4
"2026-01-01",75,12,77,41,5
"2026-02-01",68,15,81,41,5
"2026-03-01",66,17,100,35,5
