"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",16,7,39,31,5
"2021-01-01",22,8,43,37,7
"2021-02-01",22,9,39,36,6
"2021-03-01",20,12,43,32,7
"2021-04-01",22,21,51,32,6
"2021-05-01",27,19,44,27,6
"2021-06-01",28,19,42,28,5
"2021-07-01",27,24,44,27,4
"2021-08-01",36,16,52,33,4
"2021-09-01",36,12,42,30,6
"2021-10-01",31,9,36,31,6
"2021-11-01",31,7,34,30,5
"2021-12-01",29,6,32,27,5
"2022-01-01",39,9,48,43,8
"2022-02-01",38,10,37,35,6
"2022-03-01",29,12,40,31,7
"2022-04-01",28,16,43,29,6
"2022-05-01",24,17,38,29,6
"2022-06-01",26,18,41,29,4
"2022-07-01",32,28,45,30,5
"2022-08-01",39,26,54,36,5
"2022-09-01",35,19,47,35,6
"2022-10-01",33,14,40,35,6
"2022-11-01",30,12,38,35,6
"2022-12-01",26,9,31,29,5
"2023-01-01",37,14,37,42,7
"2023-02-01",35,15,42,40,7
"2023-03-01",34,13,48,41,6
"2023-04-01",32,16,57,36,6
"2023-05-01",30,19,70,32,6
"2023-06-01",28,22,65,30,5
"2023-07-01",31,32,61,34,5
"2023-08-01",36,22,76,39,6
"2023-09-01",36,15,71,39,6
"2023-10-01",33,11,59,37,7
"2023-11-01",39,9,45,41,6
"2023-12-01",31,8,40,33,5
"2024-01-01",44,14,47,42,6
"2024-02-01",42,17,56,43,7
"2024-03-01",40,15,57,42,7
"2024-04-01",35,19,92,36,7
"2024-05-01",32,28,87,27,6
"2024-06-01",34,30,87,30,5
"2024-07-01",33,47,72,29,4
"2024-08-01",39,33,92,37,4
"2024-09-01",37,28,86,35,6
"2024-10-01",37,16,63,37,6
"2024-11-01",36,11,61,40,5
"2024-12-01",32,10,45,32,4
"2025-01-01",44,13,58,42,7
"2025-02-01",39,16,61,38,5
"2025-03-01",38,17,85,37,5
"2025-04-01",33,21,100,30,5
"2025-05-01",31,23,94,28,4
"2025-06-01",33,24,92,29,4
"2025-07-01",34,32,72,27,4
"2025-08-01",39,22,91,33,5
"2025-09-01",37,27,94,32,4
"2025-10-01",39,16,61,33,4
"2025-11-01",42,12,66,36,5
"2025-12-01",42,12,53,32,4
"2026-01-01",55,15,64,43,6
"2026-02-01",52,21,79,44,5
"2026-03-01",44,22,86,36,5
