"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",45,7,25,73,6
"2021-01-01",53,7,24,77,5
"2021-02-01",57,7,24,73,5
"2021-03-01",60,9,25,79,6
"2021-04-01",55,8,26,75,7
"2021-05-01",39,7,27,97,8
"2021-06-01",36,9,29,100,9
"2021-07-01",50,9,32,76,6
"2021-08-01",55,10,31,74,7
"2021-09-01",53,7,24,66,5
"2021-10-01",49,8,27,63,3
"2021-11-01",51,8,26,61,5
"2021-12-01",49,8,24,68,5
"2022-01-01",45,7,23,61,5
"2022-02-01",43,7,24,65,5
"2022-03-01",54,7,28,68,6
"2022-04-01",50,7,22,67,4
"2022-05-01",56,7,18,59,6
"2022-06-01",70,8,25,83,7
"2022-07-01",69,7,25,62,8
"2022-08-01",60,7,23,60,7
"2022-09-01",52,6,23,59,5
"2022-10-01",50,6,25,59,4
"2022-11-01",49,7,21,54,6
"2022-12-01",47,6,21,53,5
"2023-01-01",51,5,22,58,6
"2023-02-01",54,6,25,62,6
"2023-03-01",57,6,22,68,6
"2023-04-01",58,6,16,58,5
"2023-05-01",62,6,26,56,7
"2023-06-01",72,6,20,72,7
"2023-07-01",73,7,17,58,7
"2023-08-01",62,6,16,54,6
"2023-09-01",56,5,16,52,5
"2023-10-01",50,5,16,50,5
"2023-11-01",51,5,15,53,5
"2023-12-01",61,6,19,57,5
"2024-01-01",60,6,19,58,6
"2024-02-01",63,6,18,62,6
"2024-03-01",64,5,17,68,5
"2024-04-01",66,5,16,56,7
"2024-05-01",76,5,17,55,6
"2024-06-01",73,6,16,64,7
"2024-07-01",76,5,15,50,6
"2024-08-01",76,5,17,51,6
"2024-09-01",68,5,18,52,5
"2024-10-01",61,5,17,51,4
"2024-11-01",61,5,18,58,3
"2024-12-01",58,4,17,58,5
"2025-01-01",63,5,17,56,5
"2025-02-01",63,5,18,55,5
"2025-03-01",64,5,17,59,6
"2025-04-01",63,5,14,46,4
"2025-05-01",70,5,17,51,6
"2025-06-01",78,6,20,57,5
"2025-07-01",71,7,18,49,5
"2025-08-01",66,5,16,45,5
"2025-09-01",55,3,15,38,4
"2025-10-01",55,5,16,40,3
"2025-11-01",61,6,22,44,4
"2025-12-01",68,7,23,44,4
"2026-01-01",68,6,20,48,4
"2026-02-01",83,22,52,73,4
"2026-03-01",67,5,22,46,4
