"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",48,22,42,29,4
"2021-01-01",66,27,50,33,5
"2021-02-01",55,26,52,34,5
"2021-03-01",53,23,44,32,5
"2021-04-01",57,26,44,32,6
"2021-05-01",55,25,47,33,6
"2021-06-01",65,22,42,34,5
"2021-07-01",76,32,41,33,5
"2021-08-01",58,40,55,35,6
"2021-09-01",53,22,44,32,5
"2021-10-01",49,19,44,30,5
"2021-11-01",55,18,41,24,4
"2021-12-01",65,16,40,24,4
"2022-01-01",81,24,49,31,5
"2022-02-01",74,18,45,28,6
"2022-03-01",65,19,42,27,5
"2022-04-01",66,23,40,28,5
"2022-05-01",64,17,30,29,5
"2022-06-01",66,16,36,30,6
"2022-07-01",71,20,38,28,5
"2022-08-01",74,21,42,29,6
"2022-09-01",70,21,43,29,5
"2022-10-01",73,20,42,30,6
"2022-11-01",74,19,43,26,5
"2022-12-01",69,20,38,25,4
"2023-01-01",87,29,45,32,5
"2023-02-01",78,25,46,29,5
"2023-03-01",71,23,47,31,5
"2023-04-01",70,23,41,33,5
"2023-05-01",71,19,48,32,5
"2023-06-01",70,19,41,32,5
"2023-07-01",71,22,38,32,5
"2023-08-01",69,22,42,29,5
"2023-09-01",67,20,44,30,5
"2023-10-01",63,18,41,28,5
"2023-11-01",66,20,46,28,5
"2023-12-01",63,19,40,26,4
"2024-01-01",82,25,59,31,5
"2024-02-01",75,25,57,30,5
"2024-03-01",70,21,51,27,5
"2024-04-01",72,21,56,31,5
"2024-05-01",69,19,55,27,6
"2024-06-01",71,18,48,28,5
"2024-07-01",76,24,47,27,5
"2024-08-01",75,34,57,28,5
"2024-09-01",77,19,55,30,6
"2024-10-01",69,20,55,26,6
"2024-11-01",68,21,57,26,4
"2024-12-01",66,18,50,26,4
"2025-01-01",85,21,69,30,5
"2025-02-01",83,23,65,30,6
"2025-03-01",77,20,64,28,5
"2025-04-01",79,22,62,29,5
"2025-05-01",74,18,55,27,6
"2025-06-01",75,18,50,27,5
"2025-07-01",86,18,54,27,5
"2025-08-01",76,17,60,26,5
"2025-09-01",77,18,59,26,5
"2025-10-01",75,17,58,24,5
"2025-11-01",79,18,70,23,5
"2025-12-01",82,18,55,23,4
"2026-01-01",100,23,73,30,5
"2026-02-01",93,24,80,28,5
"2026-03-01",93,22,80,27,6
