"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",50,16,41,32,14
"2021-01-01",56,13,51,30,12
"2021-02-01",54,13,72,35,10
"2021-03-01",55,13,42,35,15
"2021-04-01",40,12,40,31,14
"2021-05-01",37,14,33,33,12
"2021-06-01",62,14,48,52,14
"2021-07-01",58,15,43,38,14
"2021-08-01",75,11,44,38,12
"2021-09-01",70,12,36,32,13
"2021-10-01",62,11,44,28,10
"2021-11-01",56,10,49,31,10
"2021-12-01",49,11,40,29,9
"2022-01-01",57,7,40,35,12
"2022-02-01",62,15,41,34,12
"2022-03-01",54,13,45,30,9
"2022-04-01",55,12,38,27,7
"2022-05-01",67,10,28,33,9
"2022-06-01",74,10,33,40,14
"2022-07-01",71,7,30,31,11
"2022-08-01",82,11,34,38,14
"2022-09-01",75,12,38,27,10
"2022-10-01",64,12,42,28,11
"2022-11-01",61,11,41,28,9
"2022-12-01",58,13,39,27,10
"2023-01-01",69,11,37,28,12
"2023-02-01",66,15,38,30,11
"2023-03-01",67,11,35,29,11
"2023-04-01",62,9,31,23,8
"2023-05-01",73,9,37,32,13
"2023-06-01",88,5,34,37,12
"2023-07-01",97,6,39,26,15
"2023-08-01",83,8,45,30,12
"2023-09-01",73,8,44,28,14
"2023-10-01",70,6,43,25,10
"2023-11-01",64,7,37,22,10
"2023-12-01",59,5,42,28,8
"2024-01-01",66,6,35,30,10
"2024-02-01",67,11,37,32,9
"2024-03-01",64,8,33,25,12
"2024-04-01",68,8,30,27,11
"2024-05-01",82,8,32,28,10
"2024-06-01",82,4,33,32,10
"2024-07-01",92,4,45,28,15
"2024-08-01",91,5,35,27,9
"2024-09-01",83,7,46,24,13
"2024-10-01",75,7,48,24,10
"2024-11-01",75,7,41,28,11
"2024-12-01",73,7,41,25,7
"2025-01-01",79,6,39,26,10
"2025-02-01",78,10,36,30,6
"2025-03-01",68,5,31,24,10
"2025-04-01",85,7,36,29,10
"2025-05-01",85,5,31,30,9
"2025-06-01",100,8,31,29,7
"2025-07-01",95,6,43,28,10
"2025-08-01",89,5,39,25,7
"2025-09-01",86,9,37,23,7
"2025-10-01",78,7,52,22,6
"2025-11-01",87,12,52,24,7
"2025-12-01",90,10,45,23,10
"2026-01-01",95,17,57,29,11
"2026-02-01",96,24,62,41,7
"2026-03-01",84,10,40,22,9
