"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",43,14,29,23,14
"2021-01-01",42,14,33,28,23
"2021-02-01",46,17,34,24,16
"2021-03-01",62,17,36,20,22
"2021-04-01",59,21,39,22,25
"2021-05-01",59,21,38,23,25
"2021-06-01",52,23,35,22,18
"2021-07-01",56,36,39,21,19
"2021-08-01",60,25,46,21,19
"2021-09-01",53,19,35,18,15
"2021-10-01",53,20,40,20,18
"2021-11-01",50,16,35,21,17
"2021-12-01",49,14,28,20,10
"2022-01-01",60,17,34,22,15
"2022-02-01",71,17,34,23,13
"2022-03-01",60,18,35,20,15
"2022-04-01",55,19,35,18,19
"2022-05-01",53,23,35,19,15
"2022-06-01",67,17,37,21,15
"2022-07-01",70,20,33,18,13
"2022-08-01",75,19,38,21,14
"2022-09-01",66,18,35,18,15
"2022-10-01",64,14,37,18,12
"2022-11-01",60,11,32,19,12
"2022-12-01",57,11,24,17,7
"2023-01-01",85,14,34,23,11
"2023-02-01",75,13,32,21,10
"2023-03-01",76,14,38,21,14
"2023-04-01",68,20,39,19,15
"2023-05-01",65,17,48,19,15
"2023-06-01",70,17,36,22,12
"2023-07-01",66,22,36,17,12
"2023-08-01",68,15,39,20,14
"2023-09-01",73,16,39,18,12
"2023-10-01",60,12,35,17,12
"2023-11-01",65,11,39,19,11
"2023-12-01",62,11,33,16,7
"2024-01-01",75,20,33,24,11
"2024-02-01",78,15,35,25,8
"2024-03-01",71,14,39,21,13
"2024-04-01",69,15,43,20,14
"2024-05-01",72,16,41,19,12
"2024-06-01",68,15,36,22,11
"2024-07-01",67,21,35,20,10
"2024-08-01",73,32,42,18,12
"2024-09-01",73,12,39,23,9
"2024-10-01",71,12,35,20,10
"2024-11-01",68,14,34,20,9
"2024-12-01",68,9,38,18,6
"2025-01-01",93,13,38,22,11
"2025-02-01",77,12,42,19,8
"2025-03-01",75,12,40,21,9
"2025-04-01",73,14,42,18,12
"2025-05-01",78,15,46,19,11
"2025-06-01",72,15,44,20,9
"2025-07-01",81,19,45,16,12
"2025-08-01",70,13,44,18,11
"2025-09-01",73,15,42,16,8
"2025-10-01",71,16,43,16,8
"2025-11-01",72,18,48,17,6
"2025-12-01",80,12,45,16,7
"2026-01-01",100,12,45,24,9
"2026-02-01",91,18,52,26,9
"2026-03-01",81,17,48,20,12
