"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",51,8,24,17,10
"2021-01-01",60,8,28,19,12
"2021-02-01",39,9,29,19,13
"2021-03-01",44,9,25,16,13
"2021-04-01",41,9,26,16,30
"2021-05-01",39,12,26,19,24
"2021-06-01",37,10,29,25,20
"2021-07-01",45,15,26,15,12
"2021-08-01",46,11,29,15,11
"2021-09-01",43,10,30,16,37
"2021-10-01",47,9,28,18,18
"2021-11-01",51,8,31,19,16
"2021-12-01",46,7,26,16,12
"2022-01-01",68,9,27,16,11
"2022-02-01",66,7,24,17,12
"2022-03-01",58,11,25,14,12
"2022-04-01",56,9,31,13,12
"2022-05-01",53,9,28,14,11
"2022-06-01",51,9,27,12,10
"2022-07-01",56,8,26,13,10
"2022-08-01",61,8,26,14,10
"2022-09-01",57,8,25,14,10
"2022-10-01",62,7,26,13,9
"2022-11-01",57,8,24,13,8
"2022-12-01",60,6,23,13,8
"2023-01-01",90,6,25,16,10
"2023-02-01",78,6,24,15,10
"2023-03-01",68,8,28,14,9
"2023-04-01",61,9,32,14,9
"2023-05-01",61,8,34,13,9
"2023-06-01",59,8,31,13,8
"2023-07-01",62,7,27,13,8
"2023-08-01",68,7,27,13,8
"2023-09-01",63,8,27,12,9
"2023-10-01",58,9,29,12,8
"2023-11-01",60,7,28,13,7
"2023-12-01",66,7,27,13,8
"2024-01-01",86,6,25,15,8
"2024-02-01",81,6,24,14,8
"2024-03-01",72,7,27,14,7
"2024-04-01",61,7,29,12,9
"2024-05-01",60,7,28,13,8
"2024-06-01",53,7,26,13,6
"2024-07-01",63,7,27,12,6
"2024-08-01",70,8,26,13,7
"2024-09-01",63,4,29,12,7
"2024-10-01",63,5,26,13,7
"2024-11-01",65,6,27,13,8
"2024-12-01",69,6,27,14,6
"2025-01-01",85,6,30,16,8
"2025-02-01",75,5,28,14,6
"2025-03-01",68,6,28,14,6
"2025-04-01",61,6,31,12,8
"2025-05-01",62,6,32,12,7
"2025-06-01",56,7,30,13,6
"2025-07-01",62,6,31,11,6
"2025-08-01",66,5,30,12,6
"2025-09-01",61,7,29,11,7
"2025-10-01",64,5,30,11,7
"2025-11-01",71,7,35,13,7
"2025-12-01",74,6,35,12,6
"2026-01-01",100,7,33,14,7
"2026-02-01",91,7,34,14,7
"2026-03-01",76,7,34,12,6
