"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",34,30,47,27,43
"2021-01-01",43,28,47,28,43
"2021-02-01",39,33,54,28,44
"2021-03-01",38,35,47,23,31
"2021-04-01",28,34,44,24,35
"2021-05-01",33,34,40,25,32
"2021-06-01",39,36,37,23,25
"2021-07-01",36,25,28,21,14
"2021-08-01",29,22,27,21,20
"2021-09-01",26,23,39,24,75
"2021-10-01",37,26,63,28,97
"2021-11-01",40,23,57,28,69
"2021-12-01",38,24,44,23,40
"2022-01-01",40,24,48,25,44
"2022-02-01",39,32,54,23,49
"2022-03-01",42,35,64,22,54
"2022-04-01",45,30,52,23,39
"2022-05-01",44,27,37,22,28
"2022-06-01",53,26,38,20,23
"2022-07-01",53,19,34,19,14
"2022-08-01",53,16,32,17,24
"2022-09-01",48,18,44,19,61
"2022-10-01",51,17,44,22,55
"2022-11-01",54,16,39,22,37
"2022-12-01",55,14,33,17,22
"2023-01-01",63,15,37,20,25
"2023-02-01",59,17,39,17,18
"2023-03-01",56,18,41,18,22
"2023-04-01",57,17,32,17,19
"2023-05-01",57,17,42,16,17
"2023-06-01",62,16,33,16,13
"2023-07-01",66,16,31,17,11
"2023-08-01",61,14,29,15,12
"2023-09-01",56,13,34,16,27
"2023-10-01",60,15,38,17,26
"2023-11-01",60,13,37,18,21
"2023-12-01",57,12,32,15,16
"2024-01-01",65,13,36,16,14
"2024-02-01",60,15,41,16,14
"2024-03-01",63,15,43,16,14
"2024-04-01",64,17,48,17,14
"2024-05-01",69,16,49,16,14
"2024-06-01",100,15,54,15,12
"2024-07-01",82,15,49,15,11
"2024-08-01",66,16,49,14,16
"2024-09-01",70,13,50,17,23
"2024-10-01",67,13,53,16,16
"2024-11-01",63,14,54,17,15
"2024-12-01",56,12,44,16,10
"2025-01-01",69,13,57,16,12
"2025-02-01",69,15,67,18,13
"2025-03-01",74,15,76,16,15
"2025-04-01",84,17,81,17,12
"2025-05-01",75,15,70,15,11
"2025-06-01",72,14,64,15,11
"2025-07-01",65,14,58,15,13
"2025-08-01",64,14,61,15,15
"2025-09-01",64,12,53,17,13
"2025-10-01",65,11,56,15,14
"2025-11-01",72,13,60,15,13
"2025-12-01",69,13,55,14,8
"2026-01-01",84,15,66,15,11
"2026-02-01",91,25,82,36,11
"2026-03-01",81,18,69,15,11
