"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",63,6,22,69,6
"2021-01-01",62,7,24,66,7
"2021-02-01",74,7,25,65,7
"2021-03-01",71,7,26,65,7
"2021-04-01",61,8,25,55,8
"2021-05-01",72,8,26,69,6
"2021-06-01",84,9,27,62,7
"2021-07-01",80,7,26,63,7
"2021-08-01",85,8,28,51,7
"2021-09-01",86,8,25,56,6
"2021-10-01",77,6,23,56,6
"2021-11-01",73,6,25,58,5
"2021-12-01",71,6,21,60,5
"2022-01-01",66,6,24,54,6
"2022-02-01",68,5,26,46,7
"2022-03-01",70,5,23,44,6
"2022-04-01",58,5,21,36,5
"2022-05-01",79,6,20,51,7
"2022-06-01",84,7,25,48,8
"2022-07-01",69,6,24,43,6
"2022-08-01",77,6,23,36,7
"2022-09-01",74,6,23,39,6
"2022-10-01",74,6,24,31,8
"2022-11-01",68,5,22,33,7
"2022-12-01",68,5,22,32,6
"2023-01-01",68,5,19,33,6
"2023-02-01",67,5,20,29,7
"2023-03-01",58,4,17,25,6
"2023-04-01",60,4,15,29,5
"2023-05-01",84,5,21,31,7
"2023-06-01",84,5,19,32,7
"2023-07-01",82,5,17,30,6
"2023-08-01",81,4,17,28,7
"2023-09-01",75,5,16,26,7
"2023-10-01",78,4,14,25,6
"2023-11-01",65,4,16,25,6
"2023-12-01",70,4,15,27,6
"2024-01-01",72,4,17,28,6
"2024-02-01",73,4,16,29,5
"2024-03-01",68,3,15,25,6
"2024-04-01",78,4,16,32,5
"2024-05-01",92,4,17,29,7
"2024-06-01",82,4,16,33,6
"2024-07-01",94,4,17,28,6
"2024-08-01",100,4,16,27,6
"2024-09-01",94,4,17,29,6
"2024-10-01",93,4,16,29,6
"2024-11-01",84,4,16,30,5
"2024-12-01",79,4,16,30,5
"2025-01-01",72,4,16,27,5
"2025-02-01",74,4,15,29,4
"2025-03-01",67,3,13,24,5
"2025-04-01",93,4,15,32,5
"2025-05-01",89,4,14,29,6
"2025-06-01",94,5,17,32,6
"2025-07-01",97,4,16,25,6
"2025-08-01",92,4,14,24,6
"2025-09-01",85,4,13,22,5
"2025-10-01",84,4,15,23,5
"2025-11-01",85,6,22,24,5
"2025-12-01",81,6,21,25,5
"2026-01-01",80,4,19,23,4
"2026-02-01",85,14,31,33,6
"2026-03-01",74,5,17,21,4
