"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",5,7,32,20,3
"2021-01-01",6,7,40,24,4
"2021-02-01",7,11,35,21,4
"2021-03-01",8,14,39,20,4
"2021-04-01",8,21,39,19,3
"2021-05-01",9,26,37,17,3
"2021-06-01",11,24,36,16,2
"2021-07-01",10,30,31,17,2
"2021-08-01",11,27,39,19,2
"2021-09-01",11,21,40,19,2
"2021-10-01",11,12,35,19,1
"2021-11-01",10,10,33,18,1
"2021-12-01",10,9,22,16,2
"2022-01-01",16,12,29,23,5
"2022-02-01",13,14,29,20,5
"2022-03-01",12,20,31,18,4
"2022-04-01",12,20,32,17,3
"2022-05-01",11,36,34,17,4
"2022-06-01",11,33,30,17,4
"2022-07-01",13,37,29,19,4
"2022-08-01",14,37,33,19,4
"2022-09-01",15,22,32,19,3
"2022-10-01",17,19,31,19,3
"2022-11-01",19,16,28,20,3
"2022-12-01",17,12,23,16,3
"2023-01-01",22,17,30,24,5
"2023-02-01",19,17,30,21,5
"2023-03-01",20,15,46,22,5
"2023-04-01",20,17,55,21,5
"2023-05-01",18,25,66,20,4
"2023-06-01",17,24,55,19,4
"2023-07-01",18,18,43,21,4
"2023-08-01",19,15,50,21,4
"2023-09-01",19,13,61,23,4
"2023-10-01",19,7,48,22,3
"2023-11-01",19,5,43,23,4
"2023-12-01",17,5,33,19,3
"2024-01-01",20,6,39,24,4
"2024-02-01",19,7,49,24,4
"2024-03-01",17,9,54,20,4
"2024-04-01",17,15,64,19,4
"2024-05-01",16,19,100,18,3
"2024-06-01",16,16,60,19,3
"2024-07-01",16,18,51,19,3
"2024-08-01",16,17,67,20,3
"2024-09-01",18,11,65,20,3
"2024-10-01",16,7,52,20,3
"2024-11-01",20,6,48,22,4
"2024-12-01",17,6,44,19,3
"2025-01-01",20,7,52,25,5
"2025-02-01",20,8,52,24,4
"2025-03-01",19,12,68,22,4
"2025-04-01",18,13,76,18,4
"2025-05-01",17,14,78,19,3
"2025-06-01",17,15,66,20,3
"2025-07-01",16,15,55,20,3
"2025-08-01",18,15,64,20,3
"2025-09-01",18,10,77,19,3
"2025-10-01",18,7,62,21,3
"2025-11-01",24,8,67,22,4
"2025-12-01",25,8,56,20,4
"2026-01-01",26,7,55,25,4
"2026-02-01",28,12,63,27,5
"2026-03-01",24,18,80,22,5
