"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",23,17,17,17,3
"2021-01-01",23,17,24,20,5
"2021-02-01",17,18,27,22,6
"2021-03-01",19,26,25,19,6
"2021-04-01",33,24,22,19,5
"2021-05-01",34,28,20,19,4
"2021-06-01",31,27,17,21,4
"2021-07-01",31,31,17,18,3
"2021-08-01",26,35,17,17,3
"2021-09-01",33,27,15,20,3
"2021-10-01",30,18,16,21,3
"2021-11-01",27,13,18,18,3
"2021-12-01",24,13,17,16,3
"2022-01-01",29,16,23,21,4
"2022-02-01",31,20,20,20,4
"2022-03-01",30,19,19,19,4
"2022-04-01",30,20,16,18,4
"2022-05-01",28,22,15,21,4
"2022-06-01",32,20,17,19,4
"2022-07-01",34,27,15,19,4
"2022-08-01",36,30,16,19,4
"2022-09-01",46,24,17,21,4
"2022-10-01",41,16,17,21,4
"2022-11-01",37,12,16,18,4
"2022-12-01",37,13,15,15,3
"2023-01-01",56,16,17,19,5
"2023-02-01",52,22,15,19,4
"2023-03-01",60,23,22,19,5
"2023-04-01",57,22,23,21,5
"2023-05-01",52,35,26,19,5
"2023-06-01",52,26,21,19,4
"2023-07-01",54,33,47,20,4
"2023-08-01",54,41,48,19,4
"2023-09-01",63,28,59,23,4
"2023-10-01",53,18,52,19,5
"2023-11-01",48,14,49,19,4
"2023-12-01",46,14,54,15,4
"2024-01-01",64,18,49,20,5
"2024-02-01",63,21,53,20,5
"2024-03-01",60,23,64,19,4
"2024-04-01",60,24,73,18,5
"2024-05-01",56,23,69,18,5
"2024-06-01",50,26,60,18,4
"2024-07-01",55,39,56,18,4
"2024-08-01",54,50,58,17,3
"2024-09-01",63,23,65,19,4
"2024-10-01",58,18,67,20,4
"2024-11-01",56,15,61,19,4
"2024-12-01",50,17,71,16,4
"2025-01-01",72,18,67,20,5
"2025-02-01",75,27,66,19,5
"2025-03-01",69,24,82,20,4
"2025-04-01",64,27,71,19,4
"2025-05-01",60,27,68,18,4
"2025-06-01",63,29,67,17,5
"2025-07-01",65,30,61,17,4
"2025-08-01",67,32,59,17,3
"2025-09-01",77,36,74,19,4
"2025-10-01",66,24,76,19,4
"2025-11-01",70,17,77,17,4
"2025-12-01",71,18,88,17,4
"2026-01-01",92,20,74,21,5
"2026-02-01",100,30,81,35,5
"2026-03-01",88,28,100,19,5
