"Time","Gym","Cycling","Running","Yoga","Aerobic exercise"
"2020-12-01",59,12,26,21,7
"2021-01-01",62,11,28,22,8
"2021-02-01",55,13,28,22,9
"2021-03-01",57,11,23,21,8
"2021-04-01",26,11,27,20,7
"2021-05-01",41,14,26,22,7
"2021-06-01",68,12,21,28,8
"2021-07-01",75,10,22,19,7
"2021-08-01",81,10,23,21,8
"2021-09-01",70,10,23,21,8
"2021-10-01",59,7,24,18,7
"2021-11-01",54,8,27,18,6
"2021-12-01",54,7,24,17,4
"2022-01-01",49,8,24,19,5
"2022-02-01",63,8,25,20,6
"2022-03-01",63,8,26,18,6
"2022-04-01",62,8,21,17,6
"2022-05-01",71,9,17,21,6
"2022-06-01",75,9,23,30,8
"2022-07-01",88,10,22,17,7
"2022-08-01",87,9,25,18,8
"2022-09-01",68,10,25,18,7
"2022-10-01",72,7,28,17,8
"2022-11-01",52,7,24,13,5
"2022-12-01",48,5,24,13,4
"2023-01-01",68,7,35,18,6
"2023-02-01",71,9,34,18,6
"2023-03-01",69,7,28,18,6
"2023-04-01",60,6,25,15,5
"2023-05-01",76,9,29,17,7
"2023-06-01",79,8,24,22,7
"2023-07-01",90,7,25,16,9
"2023-08-01",91,8,25,17,8
"2023-09-01",72,7,24,15,8
"2023-10-01",61,6,24,14,6
"2023-11-01",64,7,24,15,6
"2023-12-01",57,6,22,14,6
"2024-01-01",64,6,27,17,5
"2024-02-01",65,7,29,18,6
"2024-03-01",60,7,23,14,6
"2024-04-01",69,7,23,15,5
"2024-05-01",81,6,23,19,7
"2024-06-01",83,7,21,19,6
"2024-07-01",100,8,24,19,7
"2024-08-01",93,8,28,14,7
"2024-09-01",87,7,23,16,6
"2024-10-01",81,8,29,14,7
"2024-11-01",75,7,32,15,6
"2024-12-01",65,5,28,14,5
"2025-01-01",77,6,34,16,5
"2025-02-01",74,6,31,17,5
"2025-03-01",70,6,24,13,4
"2025-04-01",87,6,23,15,4
"2025-05-01",84,7,25,16,7
"2025-06-01",94,7,24,19,5
"2025-07-01",96,8,22,14,5
"2025-08-01",99,7,24,13,6
"2025-09-01",82,6,24,15,5
"2025-10-01",76,7,27,13,5
"2025-11-01",80,7,38,16,3
"2025-12-01",75,8,36,14,5
"2026-01-01",90,9,40,15,5
"2026-02-01",89,15,42,25,6
"2026-03-01",88,9,25,15,5
